,M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元)
公司,2016/9/30,2016/6/30,2016/3/31,2015/12/31,2015/9/30,2015/6/30,2015/3/31,2014/12/31,2014/9/30,2014/6/30,2014/3/31,2013/12/31,2013/9/30,2013/6/28,2013/3/29,2012/12/28,2012/9/28,2012/6/29,2012/3/30
2305 全友,1.86,1.93,1.91,1.27,0.07,0.21,0.13,0.76,0.57,0.01,0.03,0.2,-0.19,-0.1,-0.06,-0.22,-0.23,-0.2,-0.12
2308 台達電,5.33,3.15,1.5,7.67,5.56,3.14,1.59,8.49,6.43,4.04,1.87,7.32,5.38,3.51,1.73,6.68,5.13,3.18,1.52
2311 日月光,1.79,1.16,0.54,2.55,1.89,1.06,0.58,3.07,2.05,1.12,0.45,2.09,1.4,0.81,0.3,1.76,1.17,0.81,0.32
2312 金寶,0.79,0.65,0.33,1.02,0.84,0.73,0.31,1.72,1.4,0.99,0.37,-3.27,-3.22,0.33,0.21,0.09,0.14,-0.04,0.01
2313 華通,0.64,0.24,0.22,2.41,1.58,0.78,0.38,1.67,1.01,0.52,0.28,1.56,0.99,0.51,0.23,0.73,0.42,0.21,0.1
2314 台揚,0.59,0.41,0.13,0.1,0.05,-0.31,0.01,-1.33,-0.91,-0.74,-0.4,-2.28,-1.42,-0.91,-0.64,-3.82,-2.17,-1.28,-0.66
2316 楠梓電,-0.45,-0.15,-0.14,15.03,15.63,14.57,1.08,1.15,0.76,0.56,0.27,0.87,0.68,0.31,0.15,1.17,0.89,0.52,0.18
2317 鴻海,4.62,2.62,1.76,9.42,6.03,3.61,2.05,8.85,5.01,2.7,1.49,8.16,4.91,2.56,1.38,8.03,4.9,2.34,1.4
2321 東訊,0.16,0.11,0.03,-0.27,-0.2,-0.14,0,-0.29,-0.14,0.03,-0.01,0.02,0.05,0.06,-0.16,-2.26,-1.74,-0.93,-0.33
2323 中環,-0.53,-0.32,-0.19,-1.31,-0.64,-0.38,-0.18,-0.67,-0.52,-0.36,-0.19,-1.31,-0.64,-0.4,-0.19,-0.23,0.06,0.03,0.01
2324 仁寶,1.27,0.77,0.37,2.01,1.48,0.81,0.47,1.63,0.62,0.02,-0.53,0.57,0,0.63,0.31,1.47,1.16,0.79,0.43
2325 矽品,2.28,1.42,0.51,2.81,2.88,2.02,0.84,3.77,2.8,1.75,0.67,1.9,1.17,0.47,-0.09,1.83,1.32,0.77,0.29
2327 國巨,4.37,2.69,1.25,5.48,4.32,2.47,1.4,2.3,1.52,0.87,0.44,0.75,0.5,0.26,0.09,0.48,0.46,0.26,0.1
2328 廣宇,1.83,1.66,-0.04,0.55,0.48,-0.14,-0.22,0.4,0.41,0.08,-0.06,0.63,0.31,0.19,0.11,0.79,0.45,0.17,0.08
2329 華泰,0.62,0.53,0.28,1.3,0.89,0.63,0.31,0.82,0.53,0.26,0.11,-0.36,-0.36,-0.36,-0.24,0.01,0.05,0.1,0.04
2330 台積電,9.03,5.29,2.5,11.82,9.01,6.11,3.05,10.18,7.09,4.15,1.85,7.26,5.53,3.52,1.53,6.41,4.81,2.9,1.29
2331 精英,-2.18,-2.97,0.23,2.07,2.08,1.24,0.68,2.09,1.67,1.05,0.42,3.44,0.92,0.53,0.21,0.31,0.25,0.21,0.01
2332 友訊,-1.68,-1.09,-0.34,-2.9,-1.37,-0.59,-0.37,0.1,0.02,0.24,0.13,1.06,0.57,0.02,0.2,1.23,0.81,0.36,0.37
2337 旺宏,-0.27,-0.45,-0.25,-1.19,-0.72,-0.45,-0.1,-1.83,-1.18,-0.87,-0.36,-1.79,-1.37,-1.11,-0.59,-1.55,-1.04,-0.71,-0.32
2338 光罩,-0.45,-0.27,-0.21,-0.15,-0.15,-0.3,0.02,0.25,0.17,0.15,0.1,0.17,0.03,0.02,-0.04,0.45,0.43,0.29,0.08
2340 光磊,1.25,0.72,0.21,1.05,0.76,0.47,0.2,1.03,0.78,0.53,0.24,0.77,0.59,0.37,0.17,0.62,0.5,0.31,0.11
2342 茂矽,-0.32,-0.32,-0.26,-2.65,-2.41,-2.29,-1.23,-1.09,-0.74,-0.18,0.13,-3.17,-2.37,-1.94,-0.55,-2.56,-1.25,-0.27,-0.21
2344 華邦電,0.58,0.4,0.22,0.9,0.67,0.49,0.27,0.83,0.55,0.3,0.1,0.06,0.04,0,-0.1,-0.5,-0.35,-0.26,-0.18
2345 智邦,2.53,1.64,0.74,2.19,1.34,0.63,0.21,1.21,0.77,0.65,0.36,1.06,0.77,0.51,0.13,1.68,1.3,0.63,0.26
2347 聯強,2.13,1.47,0.76,2.01,1.74,1.55,0.73,3.16,2.29,1.35,0.63,3.32,2.48,1.6,0.63,3.69,2.81,1.92,1.14
2348 海悅,0.13,0.09,0.06,1.06,1.05,0.52,0.54,4.13,4.61,4.03,2.85,4.18,1.93,0.88,-0.16,-52.32,-5.57,-6.56,-0.07
2349 錸德,-0.74,-0.52,-0.19,-0.84,-0.49,-0.26,-0.28,-1.29,-0.94,-0.7,-0.33,-1.22,-0.73,-0.51,-0.26,-0.86,-0.44,-0.31,-0.19
2351 順德,2.88,1.83,0.85,3.16,2.57,1.48,0.81,3.95,2.83,1.57,0.73,2.69,2.04,1.17,0.45,1.56,1.48,0.83,0.37
2352 佳世達,1.39,0.67,0.26,1.1,0.97,0.68,0.32,1.51,1.1,0.57,0.14,0.36,0.04,-0.14,-0.43,-1.32,-0.78,-0.21,0.26
2353 宏碁,0.28,0.19,0.02,0.2,0.12,0.06,0.06,0.66,0.42,0.18,0,-7.54,-4.76,0.06,0.19,-1.07,0.17,0.14,0.12
2354 鴻準,5.92,3.57,1.76,8.76,6.3,4.22,2.16,6.84,3.14,1.24,0.26,5.39,3.16,2.33,1.73,6.79,3.95,0.42,2.16
2355 敬鵬,4.6,3.15,1.62,4.97,3.45,1.74,0.95,4.45,3.14,2.06,1.26,4.39,3.3,2.2,1.12,3.9,3.12,1.94,0.87
2356 英業達,1.08,0.74,0.34,1.55,1.27,0.73,0.41,1.98,1.45,0.94,0.53,1.97,1.47,0.95,0.5,0.9,0.73,0.5,0.12
2357 華碩,19.21,11.16,5.6,23.02,16.9,11.23,4.96,26.21,20.14,12.32,5.87,28.66,21,14.37,8.04,29.79,21.97,13.05,6.65
2358 廷鑫,-2.01,-0.82,-0.66,-2.25,-1.57,-0.89,-0.42,-0.43,-0.13,-0.15,-0.2,-1.54,-0.76,-0.44,-0.02,-0.32,-0.35,-0.32,-0.25
2359 所羅門,0.51,0.39,0.17,2.15,1.21,0.61,0.49,1.91,1.37,0.66,0.69,0.47,0.4,0.26,0.15,0.09,0.51,0.34,0.16
2360 致茂,3.54,2.02,0.85,3.28,2.62,1.34,0.33,3.51,2.66,1.37,0.48,3.21,2.46,1.73,0.58,2.52,2.03,1.2,0.43
2362 藍天,0.55,0.5,0.11,1.57,1.28,1.21,0.8,3.55,2.36,1.6,0.51,5.26,2.3,1.49,0.42,2.2,1.43,0.94,0.42
2363 矽統,-0.06,-0.21,-0.09,0.02,-0.04,-0.21,-0.09,-0.19,-0.06,-0.19,-0.14,-0.47,-0.29,-0.35,-0.24,-2.39,-1.2,-1.07,-0.55
2364 倫飛,-1.53,-0.33,-0.14,-0.97,-0.84,-0.64,-0.33,-1.08,-0.88,-0.66,-0.32,-1.06,-0.8,-0.54,-0.28,-1.34,-0.3,-0.29,-0.1
2365 昆盈,-0.33,-0.15,-0.1,0.32,0.3,0.19,0.07,0.42,0.29,0.07,0.1,0.01,0.27,0.24,0.08,0.24,0.31,0.17,0.11
2367 燿華,-1.79,-1.55,-0.48,0.97,0.71,0.18,0.26,0.9,0.42,0.04,-0.1,0.44,0.43,0.32,0,-0.88,-0.43,-0.25,-0.15
2368 金像電,0.03,-0.2,-0.32,0.18,0.25,0.29,0.45,1.13,0.36,-0.28,-0.41,-1.57,-1.09,-1.01,-0.73,-3.17,-2.18,-0.96,-0.29
2369 菱生,0.52,0.09,0.03,-0.21,-0.16,-0.13,-0.02,0.5,0.46,0.27,0.1,0.97,0.74,0.54,0.16,1,0.83,0.54,0.05
2371 大同,-0.85,-0.66,-0.35,-1.35,-0.91,-0.46,-0.21,0.16,0.54,0.49,0.3,-0.7,-0.69,-0.63,-0.35,-1.52,-1.21,-0.73,-0.33
2373 震旦行,2.98,1.88,0.95,3.8,2.9,1.91,0.95,3.46,2.88,1.82,0.86,3.9,3.04,2,0.94,3.51,2.65,1.64,0.78
2374 佳能,0.9,0.08,-0.1,1.71,1.34,0.66,0.26,0.33,0.02,-0.41,-0.45,1.08,0.82,0.46,0.23,3.02,2.46,1.61,0.72
2375 智寶,-0.94,-1.02,-0.67,0.52,0.41,0.33,0.16,1,0.81,0.47,0.25,4.37,1.02,0.55,0.15,-0.74,-0.74,-0.61,-0.38
2376 技嘉,2.83,1.54,0.86,3.05,2.54,1.24,0.67,3.82,3.03,1.94,1.16,3.76,3.13,1.69,0.97,2.48,2.16,1.05,0.44
2377 微星,4.38,2.47,1.37,4.39,3.13,1.78,1.12,3.57,2.92,2.09,1.15,2.34,1.71,1,0.5,1,0.97,0.41,0.08
2379 瑞昱,4.67,3.19,1.17,4.81,3.38,2.19,1.47,7.71,6.61,3.63,1.62,6.02,4.63,3.03,1.45,4.53,3.56,2.33,1.14
2380 虹光,-1.11,-0.77,-0.5,-1.01,-0.58,-0.5,-0.26,-0.39,-0.48,-0.36,-0.06,-1.14,-1.04,-0.85,-0.43,-1.41,-0.92,-0.95,-0.52
2382 廣達,2.87,1.85,0.94,4.62,3.34,1.83,0.95,4.9,3.5,2.27,1.21,4.84,3.42,2.21,1.16,6.01,4.58,2.89,1.33
2383 台光電,6.21,3.63,1.75,7.55,5.66,3.23,1.72,4.91,3.2,1.75,0.8,2.69,2.1,1.23,0.61,3.73,2.97,1.83,0.97
2385 群光,3.15,2.01,0.78,5.79,3.72,2.49,0.91,6.22,4.1,2.57,1.04,5.83,4.28,2.83,1.49,6.05,4.08,2.33,1.19
2387 精元,1.48,0.97,0.58,2.35,1.23,0.42,0.33,1.95,1.35,0.69,0.16,0.3,0.25,0.27,0.38,-0.13,-0.15,-0.21,0.03
2388 威盛,0.35,0.28,0.12,1.72,2.62,-0.86,-0.76,-3.18,-1.76,-1,-0.85,-2.57,-2.39,-2.1,-2.53,-8.26,-6.16,-1.89,-0.12
2390 云辰,-0.24,0.02,0.15,0.81,0.49,0.09,0.04,-0.35,-0.23,0,-0.1,0.24,0.01,0.17,0.16,0.04,-0.44,-0.36,-0.14
2392 正崴,0.52,0.07,0.05,3.22,2.73,0.73,0.45,3.51,1.83,0.8,0.5,4.19,2.8,1.61,1.13,3.96,1.37,0.24,0.14
2393 億光,3.08,2.04,1.02,4.27,3.01,2.05,1.31,5.12,3.83,2.16,1,3.51,2.63,1.45,0.53,1.3,1.3,0.75,0.2
2395 研華,6.72,4.39,2.08,8.08,5.96,4.01,1.91,7.8,5.85,4.12,2.02,7.26,5.45,3.5,1.52,6.22,4.74,3.1,1.35
2397 友通,3.52,2.49,1.3,3.13,2.48,1.43,0.64,2.95,2.05,1.31,0.66,2.21,1.69,1.11,0.5,1.88,1.36,0.81,0.44
2399 映泰,-0.23,0.03,-0.12,-0.59,-0.26,-0.34,-0.06,-0.37,0.49,0.39,0.32,0.69,0.5,0.48,0.32,0.55,0.55,0.51,0.21
2401 凌陽,0.11,0.04,0,1,0.6,1.11,0.95,0.72,0.63,0.35,0.01,0.09,0.14,0.08,-0.07,-1.15,-0.24,-0.25,-0.29
2402 毅嘉,-0.27,-0.33,-0.18,0.16,0.15,-0.08,-0.24,3.22,2.62,1.91,0.62,1.11,0.7,0.48,0.06,0.31,0.07,0,0.09
2404 漢唐,4.79,3.02,1.37,5.24,4.47,2.65,0.81,3.14,2.65,2.05,0.78,4.73,3.76,2.25,0.89,2.26,1.58,1.19,0.4
2405 浩鑫,-0.07,-0.2,-0.17,-0.63,-0.59,-0.49,-0.25,-0.71,-0.67,-0.43,-0.34,1.38,1.01,0.59,0.07,0.94,0.77,0.26,0.1
2406 國碩,0.5,0.96,0.71,0.01,-0.52,-0.96,-0.34,0.01,0.32,0.91,0.88,-2.43,-1.09,-0.5,-0.26,0.06,1.17,1.87,1.82
2408 南亞科,1.33,0.82,0.68,7.07,6.3,4.36,2.61,11.77,8.21,5.1,0.26,0.34,0.17,0.09,0.02,-2.24,-1.79,-1.15,-0.7
2409 友達,-0.12,-0.63,-0.57,0.51,1.36,1,0.54,1.83,1.21,0.45,0.03,0.45,0.35,0.08,-0.36,-6.19,-4.78,-2.93,-1.54
2412 中華電,4.16,2.93,1.5,5.52,4.3,2.78,1.34,4.98,3.94,2.68,1.32,5.12,3.93,2.56,1.19,5.14,3.99,2.68,1.22
2413 環科,0.44,0.37,0.13,1.32,1.11,0.41,0.25,0.42,0.15,-0.36,0.01,0,-0.07,0.02,-0.17,-2.29,-2.49,-2.04,-1.19
2414 精技,1.18,0.78,0.44,1.38,1.04,0.69,0.44,1.56,1.24,0.77,0.4,0.97,0.66,0.41,0.27,1.28,0.89,0.57,0.26
2415 錩新,1.7,0.75,0.22,0.82,0.69,0.29,0.07,2.02,1.93,0.7,0.31,0.9,0.55,0.36,0.17,2.07,0.51,0.39,0.11
2417 圓剛,-0.47,-0.37,-0.25,-1.39,-1.04,-0.77,-0.42,-0.74,-0.47,-0.27,-0.11,-0.84,-0.5,-0.41,-0.14,0.01,0.05,0,0.03
2419 仲琦,1.14,0.74,0.4,1.01,0.48,0.16,-0.06,0.64,0.55,0.31,0.21,0.35,0.66,0.65,0.13,1.61,1.29,0.91,0.54
2420 新巨,2.39,1.71,0.87,4.26,3.11,1.74,0.97,3.84,2.59,1.52,0.86,3.27,2.24,1.51,0.84,2.16,1.78,1,0.53
2421 建準,1.47,0.76,0.2,1.77,1.1,0.4,0.11,1.51,1.21,0.74,0.25,1.22,0.86,0.41,0.12,0.84,0.85,0.53,0.14
2423 固緯,1.28,0.92,0.42,1.68,1.13,0.66,0.36,1.35,1.11,0.7,0.32,1,0.97,0.78,0.32,0.98,1.08,0.8,0.17
2424 隴華,-1.27,-0.69,-0.42,-0.89,-0.24,-0.73,-0.33,-0.21,-0.3,-0.42,-0.45,7.08,0.94,0.95,-0.04,-1.01,-0.94,-0.81,-0.12
2425 承啟,0.36,0.26,0.13,1.67,1.23,0.1,0.06,2.48,1.77,1.33,1.08,3.73,2.77,1.8,0.84,0.87,0.38,0.22,-0.06
2426 鼎元,0.35,0.28,0.11,1.22,1.13,0.71,0.34,1.5,1.08,0.48,0.23,-2.75,-0.58,-0.54,-0.3,-1.98,-1.37,-1.07,-0.23
2427 三商電,0.21,0.11,0.04,0.18,0.08,-0.04,-0.07,0.12,0.08,0.06,0.02,-0.07,-0.11,0.01,0,0.02,-0.09,0.01,0.07
2428 興勤,5.15,2.7,0.97,5.4,4.26,2.15,1.09,4.87,3.46,2.04,1.2,4.01,2.76,1.6,0.66,3.39,2.64,1.58,0.68
2429 銘旺科,0.47,0.47,0.13,-2.31,-0.88,-0.43,-0.33,-2.71,-1.8,-1.18,-0.74,-3.58,-2.86,-0.76,0.14,6.7,1.24,1.35,-0.1
2430 燦坤,2.41,1.77,1.01,1.79,1.64,0.72,0.54,0.66,1.92,1.36,1.06,3.11,2.56,1.6,1.22,4.32,3.53,2.49,1.71
2431 聯昌,0.5,0.3,0.09,0.32,0.48,0.33,0.3,1.28,1.21,0.47,0.16,0.5,0.3,0.03,-0.04,-1.12,-0.89,-0.76,-0.31
2433 互盛電,2.49,1.07,0.57,3.67,3.02,1.59,0.67,3.4,2.84,1.36,0.47,5.55,5.08,3.78,1.16,3.12,2.64,1.14,0.47
2434 統懋,-1.26,-0.93,-0.48,-2.61,-2.43,-0.85,-0.4,2.45,1.23,1.64,2.2,-1.25,-0.41,-0.28,-0.12,-1.32,-1.16,-0.61,-0.25
2436 偉詮電,0.52,0.2,0.08,0.55,0.5,0.24,0.08,0.94,0.82,0.42,0.25,0.54,0.4,0.22,0.17,0.08,0.21,0.1,-0.04
2437 旺詮,3.74,2.57,0.94,5.76,4.35,2.7,1.14,5.8,4.68,3.39,1.27,4.7,3.38,2.01,0.8,2.73,1.86,0.8,0.07
2438 翔耀,-0.07,-0.07,0.01,0.07,0.14,0.05,0.17,0.04,0.36,0.3,-0.16,-0.27,-0.54,-0.55,-0.39,-3.81,-1.48,-0.43,-0.33
2439 美律,6.97,1.96,0.21,3.48,1.88,0.5,0.35,6.72,5.19,3.04,1.56,5.86,3.28,1.49,1,2.9,1.63,1.82,1.02
2440 太空梭,-0.03,-0.12,-0.12,-0.18,-0.07,0.04,-0.09,-0.08,-0.19,-0.17,-0.11,-0.55,-0.63,-0.48,-0.31,-1.36,-0.79,-0.54,-0.23
2441 超豐,2.89,1.87,0.93,3.47,2.63,1.75,0.87,3.98,3.07,1.99,0.91,2.91,2.02,1.25,0.52,2.24,1.8,1.16,0.28
2442 新美齊,-0.05,-0.24,-0.36,0.25,0.19,0.32,0.23,0.72,0.55,0.17,0.15,0.64,0.49,0.34,0.18,0.76,0.5,0.23,0.42
2443 新利虹,-1.19,-0.77,-0.32,-1.65,-1.32,-0.83,-0.53,-0.86,-0.76,-0.57,-0.07,4.4,-0.31,-0.14,-0.12,-2.97,-0.21,-0.14,-0.06
2444 友旺,0.7,0.62,0.31,0.3,-0.6,-1.05,0.27,0.57,0.36,0.2,0.17,-1.46,0.06,0.04,0.04,0.04,0.29,0.34,0.05
2448 晶電,-3.18,-3.19,-1.54,-2.81,-0.34,0.72,0.88,1.98,1.88,-0.11,-0.91,0.04,0.02,0.11,-0.27,-1.3,-0.01,-0.16,-0.6
2449 京元電子,2,1.25,0.52,1.93,1.53,1.07,0.5,2.15,1.71,1.02,0.36,1.53,1.21,0.78,0.3,1.31,0.96,0.45,0.11
2450 神腦,3,1.91,1.02,3.17,1.86,1.42,0.51,2.13,1.13,1.11,0.71,5.55,4.52,3.31,2.12,5.81,4.37,3.02,2.02
2451 創見,4.32,3.22,1.45,7.48,5.6,3.08,1.94,8.67,6.28,4.04,2.09,7.43,5.79,4.35,2.02,6.61,5.26,3.1,1.43
2453 凌群,0.3,0.26,0.04,0.65,0.43,0.23,0.05,0.97,0.79,0.65,0.12,0.95,0.76,0.62,0.13,0.81,0.6,0.43,0.06
2454 聯發科,11.93,6.95,2.79,16.6,13.77,8.68,4.62,30.04,23.41,14.89,6.82,20.51,14.08,7.8,2.79,12.9,9.2,5.14,2.19
2455 全新,1.74,1.3,0.65,2.4,1.93,1.24,0.54,1.9,1.29,0.66,0.3,1.87,1.62,1.29,0.54,1.88,1.61,1.35,0.74
2456 奇力新,3.96,2.35,1.14,4.41,3.37,2.17,1.11,2.7,1.83,0.98,0.4,1.82,1.44,0.96,0.46,1.73,1.4,0.83,0.28
2457 飛宏,-1.6,-1.39,-0.72,-1.83,-1.62,-1.38,-0.46,0.53,0.46,0.17,0.02,0.55,0.58,0.2,0.15,1.12,0.86,0.51,0.15
2458 義隆,1.18,0.6,0.26,1.98,1.54,0.97,0.59,3.62,2.85,1.91,0.78,3.8,2.89,2.18,0.99,3.02,2.18,1.26,0.52
2459 敦吉,2.86,1.6,0.75,3.52,2.69,1.68,0.68,3.48,2.64,1.56,0.66,2.77,2.24,1.32,0.85,2.86,2.08,1.27,0.47
2460 建通,0.12,0.03,-0.09,-0.24,-0.31,-0.18,-0.07,0.51,0.39,0.24,-0.15,0.09,-0.01,-0.3,-0.03,0.5,0.48,0.39,0.19
2461 光群雷,0.9,0.44,0.23,1.12,0.87,0.42,0.16,0.56,0.75,0.41,0.19,1.49,1.22,0.91,0.63,0.93,0.7,0.35,0.15
2462 良得電,0.48,0.16,0.01,1.67,1.17,0.35,0.33,1.48,1.36,0.8,0.74,2.21,1.54,0.8,0.59,3.37,2.9,1.94,1.02
2464 盟立,1.7,1.28,0.58,2.98,2.15,1.22,0.63,2.09,1.56,0.95,0.46,1.9,1.57,1.15,0.63,1.11,0.7,0.58,0.21
2465 麗臺,-1.09,-0.83,-0.37,0.49,0.77,1.14,1.53,-1.26,-0.91,-0.73,-0.29,-0.93,-0.69,-0.68,-0.34,-1.15,-0.81,-0.52,-0.22
2466 冠西電,-0.23,-0.14,-0.24,-0.55,-0.28,-0.37,-0.2,-0.87,-0.62,-0.6,-0.18,-0.75,-1.21,-0.43,-0.19,-1.29,-0.36,-0.2,0.02
2467 志聖,1.04,0.62,0.31,-3.12,0.13,0.13,-0.19,1.53,1.16,0.83,0.33,1.8,1.51,1.24,0.68,1.67,1.29,0.72,0.24
2468 華經,0.42,0.32,0.1,0.82,0.48,0.29,0.09,0.6,0.27,0.1,0.11,0.44,0.07,0.04,0,0.1,-0.09,0.05,-0.16
2471 資通,0.58,0.11,0.27,0.78,0.21,0.01,-0.18,1.3,0.15,0.14,0.27,1.08,0.5,0.69,0.5,1.87,1.38,0.88,0.67
2472 立隆電,2.36,1.72,1.16,2.83,2.21,1.05,0.58,3.6,2.66,1.6,0.71,2.42,1.61,1.13,0.51,0.83,0.58,0.3,-0.02
2474 可成,16.21,10.41,5.4,32.61,23.43,12.85,6.04,23.52,15.11,8.81,3.97,18.38,13.76,10.07,5.22,14.51,8.39,5.75,3.72
2475 華映,-0.38,-0.4,-0.44,-1.35,-0.93,-0.36,-0.17,-0.61,-0.23,0.01,0.01,-0.75,-0.79,-0.86,-0.32,-1.82,-1.55,-1.02,-0.38
2476 鉅祥,1.73,1.09,0.41,2.19,1.59,0.81,0.36,1.75,1.31,0.79,0.37,1.41,1,0.65,0.2,1.67,1.26,0.69,0.26
2477 美隆電,0.95,0.57,0.28,1.22,0.82,0.19,0.14,-0.76,-0.63,-0.23,-0.04,4.58,4.63,-0.08,0.03,0.67,0.35,0,-0.16
2478 大毅,0.68,0.44,0.23,0.94,0.74,0.35,0.17,0.67,0.48,0.27,0.17,0.31,0.32,0.21,0.08,0.43,0.41,0.25,0.05
2480 敦陽科,1.75,1.03,0.5,2.02,1.47,0.92,0.49,2.01,1.46,0.84,0.44,2.01,2,1.14,0.57,1.95,1.72,1.21,0.64
2481 強茂,1.26,0.87,0.5,1.2,0.87,0.38,0.18,0.28,0.48,0.24,0.2,-0.73,-0.42,-0.46,-0.25,-1.75,-0.89,-0.62,-0.41
2482 連宇,0.2,0.21,0.15,0.25,0.64,0.25,0.09,-0.17,-0.32,-0.38,-0.05,-0.18,0.03,0.06,0.08,0.05,-0.04,0.07,0.03
2483 百容,1.03,0.69,0.33,1.74,1.53,0.92,0.2,1.63,1.3,0.8,0.34,1.1,0.67,0.41,0.2,-0.14,-0.06,-0.17,-0.26
2484 希華,0.84,0.58,0.07,1.67,1.34,0.68,0.32,1.83,1.26,0.78,0.25,0.88,0.71,0.43,0.15,-0.96,-0.43,-0.42,-0.43
2485 兆赫,1.23,1.06,0.71,2.66,1.77,0.61,0.25,1.91,1.23,0.68,0.58,2.44,1.81,1.29,0.57,1.61,1.51,1.06,0.49
2486 一詮,-0.34,-0.27,-0.16,-1.38,-0.43,-0.41,-0.04,1.02,0.88,0.56,0.25,1.06,0.73,0.41,0.23,0.42,0.69,0.15,0.31
2488 漢平,3.97,2.48,1.13,2.98,1.97,1.13,0.58,2.26,1.46,0.95,0.52,3.43,1.95,1.06,0.4,0.78,0.18,0.02,-0.09
2489 瑞軒,2.01,1.7,1.27,2.12,0.84,0.23,0.09,1.01,0.78,0.63,0.42,1.4,1.01,0.65,0.31,2.19,1.55,1.04,0.51
2491 吉祥全,-0.46,-0.31,-0.15,0.47,-0.61,-0.41,-0.19,3.52,4.22,4.29,0.82,-2.11,-2.83,-2.77,-0.88,-7.1,-4.99,-2.18,-0.52
2492 華新科,2.84,1.62,0.71,1.86,1.28,0.66,0.2,0.81,0.51,0.06,-0.04,-0.74,-0.59,-0.52,-0.46,-2.04,-1.4,-1.26,-0.93
2493 揚博,2.28,1.5,0.9,2.51,1.9,0.78,0.43,3.28,2.37,1.68,0.79,2.27,1.9,1.41,0.71,3.03,2.56,1.61,0.62
2495 普安,0.51,0.31,0.11,1.04,0.67,0.25,0.15,0.67,0.24,0.03,0.07,0.17,0.09,0.07,0.11,0.41,0.35,0.39,0.22
2496 卓越,-0.92,-0.17,0.11,-0.64,-0.19,-0.15,0.04,-2.32,-1.86,-1.08,-0.32,-0.69,-0.54,-0.03,0.05,0.56,-0.15,-0.36,-0.23
2497 怡利電,0.05,0.19,0.05,1.78,1.8,1.16,0.8,4.51,3.01,2.03,1.19,3.01,1.92,0.87,0.32,1.66,1.29,0.78,0.4
2498 宏達電,-9.05,-6.87,-3.16,-18.79,-14.68,-9.27,0.43,1.8,1.23,0.46,-2.28,-1.6,-1.97,1.6,0.1,20.17,18.95,14.25,5.35
2499 東貝,0.13,0.11,0.01,0.63,0.6,0.4,0.2,1.21,1.82,0.93,0.53,0.63,0.71,0.6,0.28,0.25,0.47,0.4,0.16
2501 國建,1.22,0.77,0.16,1.4,1.12,1.11,0.91,1.78,0.44,0.16,-0.05,1.02,0.95,0.8,0.23,1.02,0.8,0.66,0.17
2504 國產,-0.51,-0.29,-0.05,0.01,0.14,0.12,0.07,0.53,0.3,0.17,0.07,0.62,0.22,0.08,0.03,0.14,0.02,-0.04,-0.04
2505 國揚,-0.2,-0.07,-0.09,0.61,0.5,0.52,-0.2,0.1,0.22,0.17,0.18,3.39,0.92,0.89,0.52,2.87,0.34,0.15,0.04
2506 太設,0.65,0.24,0.05,0.32,0.41,0.36,0.31,0.88,0.62,-0.2,0.04,1.76,0.22,0.27,-0.14,0.69,0.41,0.26,-0.01
2509 全坤建,-0.28,-0.27,0.08,4,-0.37,-0.74,-0.37,-1.34,-0.9,-0.38,-0.16,2.61,2.81,-0.47,-0.1,1.52,1.55,1.22,1.14
2511 太子,0.31,0.2,0.07,1.38,0.53,0.44,0.12,1.51,0.63,0.45,0.17,1.3,-0.04,0.09,0.09,1.54,0.97,1.09,0.5
2514 龍邦,0.77,-0.15,-0.12,0.45,-0.77,0.62,0.74,0.97,1.34,0.34,0.36,0.5,0.85,0.37,0.83,1.24,0.68,0.3,0.37
2515 中工,0.13,0.02,0.03,0.34,0.92,1.32,1.31,0.34,0.23,0.03,0.02,0.17,0.07,0.01,0,0.25,0.19,0.12,0.03
2516 新建,0.71,0.1,0.12,0.54,0.58,0.48,0.39,0.65,0.76,0.49,0.34,-0.15,-0.44,-0.82,0.16,0.7,0.5,0.41,0.12
2520 冠德,1.33,0.8,0.22,1.16,-0.16,-0.07,0.24,5.82,2.77,2.88,2.38,2.42,0.54,0.57,0.79,2.11,1.06,0.84,0.51
2524 京城,0.6,0.03,0.12,0.61,0.48,0.21,0.18,2.6,1.82,0.5,0.3,4.16,3.45,1.76,0.77,3.8,1.81,1.23,0.58
2527 宏璟,0.39,-0.1,0.05,2.68,2.19,1.6,0.19,3.38,3.61,-0.18,0.04,1.26,-0.37,-0.45,-0.21,0.95,0.67,0.59,-0.13
2528 皇普,-0.1,-0.05,-0.08,0.01,-0.2,-0.13,0.02,0.47,0.49,0.3,0.31,1.47,-0.37,-0.26,-0.13,0.33,0.5,0.62,0.17
2530 華建,1.77,1.85,2.07,2.59,0.15,-0.11,-0.05,-0.65,-0.33,-0.2,-0.12,-0.13,0.07,0.28,0.38,0.2,0.23,0.26,0.28
2534 宏盛,0.49,0.44,0.02,0.68,0.56,0.69,-0.08,-0.4,-0.48,-0.37,-0.21,-0.25,-1.01,-0.74,-0.13,0.5,0.6,0.66,0
