,TWII.Open,TWII.High,TWII.Low,TWII.Close,TWII.Volume,TWII.Adjusted,add/less
2012/9/21,7763.290039,7765.009766,7737.029785,7754.589844,2249600,7754.559338,27.039933
2012/9/24,7760.330078,7781.549805,7706.950195,7768.299805,2099200,7768.269245,13.709907
2012/9/25,7766.439941,7789.390137,7720.439941,7734.129883,2068400,7734.099457,-34.169788
2012/9/26,7702.77002,7708.899902,7649.5,7669.629883,2122800,7669.599711,-64.499746
2012/9/27,7665.890137,7699.22998,7658.509766,7683.799805,1925200,7683.769577,14.169866
2012/9/28,7704.22998,7721.290039,7665.350098,7715.160156,2022400,7715.129806,31.360229
2012/10/1,7702.120117,7707.890137,7657.879883,7675.720215,1410200,7675.690019,-39.439787
2012/10/2,7703.100098,7726.609863,7683.029785,7718.680176,1613000,7718.649811,42.959792
2012/10/3,7727.47998,7727.529785,7680.97998,7684.629883,1531200,7684.599652,-34.050159
2012/10/4,7678.47998,7689.080078,7621.379883,7682.339844,1783200,7682.309622,-2.29003
2012/10/5,7694.049805,7721.930176,7675.47998,7690.649902,1803200,7690.619648,8.310026
2012/10/8,7707.970215,7707.970215,7612.870117,7615.890137,1545200,7615.860177,-74.759471
2012/10/9,7593.580078,7631.959961,7590.75,7592.009766,1845000,7591.979899,-23.880278
2012/10/11,7494.580078,7501.220215,7448.060059,7451.720215,1956600,7451.6909,-140.288999
2012/10/12,7456.509766,7478.509766,7398.799805,7437.040039,1560800,7437.010782,-14.680118
2012/10/15,7433.220215,7433.680176,7392.609863,7418.899902,1186200,7418.870717,-18.140065
2012/10/16,7437.790039,7471.02002,7437.790039,7471.02002,1487000,7470.990629,52.119912
2012/10/17,7505.410156,7518.359863,7450.290039,7464.399902,1839800,7464.370538,-6.620091
2012/10/18,7474.069824,7495.450195,7448.060059,7465.410156,1300800,7465.380788,1.01025
2012/10/19,7443.609863,7449.220215,7402.660156,7408.759766,1410400,7408.73062,-56.650168
2012/10/22,7333.240234,7373.040039,7310.790039,7373.040039,1241400,7373.011034,-35.719586
2012/10/23,7367.459961,7375.5,7326.390137,7337.47998,1201000,7337.451116,-35.559918
2012/10/24,7288.140137,7348.450195,7274.879883,7314.879883,1380800,7314.851107,-22.600009
2012/10/25,7329.5,7339.209961,7260,7262.080078,1509400,7262.05151,-52.799597
2012/10/26,7291.97998,7298.47998,7132.77002,7134.060059,2529400,7134.031994,-128.019516
2012/10/29,7147.200195,7165.100098,7091.189941,7091.669922,1832200,7091.642024,-42.38997
2012/10/30,7131.149902,7206.350098,7131.149902,7182.589844,1781000,7182.561588,90.919564
2012/10/31,7220.02002,7222.839844,7139.169922,7166.049805,1588000,7166.021614,-16.539974
2012/11/1,7141.970215,7188.22998,7050.049805,7179.640137,1918000,7179.611893,13.590279
2012/11/2,7232.200195,7235.129883,7199.569824,7210.470215,1967600,7210.44185,30.829957
2012/11/5,7200.77002,7216.299805,7161.700195,7185.359863,1253800,7185.331597,-25.110253
2012/11/6,7223.02002,7236.680176,7165.580078,7236.680176,1262000,7236.651707,51.32011
2012/11/7,7249.75,7287.180176,7220.040039,7287.180176,1593400,7287.151509,50.499802
2012/11/8,7229,7242.629883,7190.990234,7242.629883,1573400,7242.601391,-44.550118
2012/11/9,7206.160156,7302.27002,7170.290039,7293.220215,1911000,7293.191524,50.590133
2012/11/12,7303.930176,7307.589844,7264.02002,7267.75,1519200,7267.721409,-25.470115
2012/11/13,7262.649902,7262.649902,7129.870117,7136.049805,1702800,7136.021732,-131.699677
2012/11/14,7141.580078,7165.859863,7107.779785,7159.75,1287400,7159.721834,23.700102
2012/11/15,7132.02002,7158.740234,7066.279785,7143.839844,1327800,7143.811741,-15.910093
2012/11/16,7125.240234,7194.279785,7108.839844,7130.069824,1422200,7130.041775,-13.769966
2012/11/19,7134.709961,7162.120117,7125.209961,7129.040039,1214400,7129.011994,-1.029781
2012/11/20,7179.100098,7189.100098,7141.160156,7145.77002,1228800,7145.741909,16.729915
2012/11/21,7150.240234,7169.399902,7061.870117,7088.490234,1433800,7088.462349,-57.27956
2012/11/22,7116.799805,7134.779785,7097.379883,7105.759766,1171600,7105.731812,17.269463
2012/11/23,7148.970215,7326.009766,7148.970215,7326.009766,2264600,7325.980946,220.249134
2012/11/26,7372.379883,7407.370117,7370.279785,7407.370117,2199600,7407.340977,81.360031
2012/11/27,7408.740234,7436.779785,7384.970215,7430.200195,1985400,7430.170966,22.829989
2012/11/28,7418.419922,7434.930176,7385.910156,7434.930176,1973000,7434.900927,4.729961
2012/11/29,7468.930176,7521.52002,7466.490234,7503.549805,2635600,7503.520286,68.619359
2012/11/30,7519.069824,7590.689941,7515.149902,7580.169922,3157800,7580.140102,76.619816
2012/12/3,7582.649902,7628.290039,7562.189941,7599.910156,2437800,7599.880259,19.740157
2012/12/4,7572.109863,7600.97998,7536.660156,7600.97998,2494600,7600.950079,1.06982
2012/12/5,7575.629883,7650.120117,7567.459961,7649.049805,3147200,7649.019714,48.069635
2012/12/6,7660.970215,7673.620117,7616.790039,7623.259766,2726600,7623.229776,-25.789938
2012/12/7,7640.25,7672.919922,7631.629883,7642.259766,2334600,7642.229702,18.999926
2012/12/10,7658.390137,7669.049805,7603.25,7609.5,1913200,7609.470065,-32.759637
2012/12/11,7621,7630.660156,7556.669922,7613.689941,2256200,7613.65999,4.189925
2012/12/12,7653.899902,7696.02002,7645.540039,7690.189941,2206800,7690.159689,76.499699
2012/12/13,7713.689941,7757.089844,7699.410156,7757.089844,2968600,7757.059328,66.899639
2012/12/14,7722.879883,7723.740234,7686.319824,7698.77002,2683200,7698.739733,-58.319595
2012/12/17,7664.970215,7683.319824,7603.509766,7631.279785,2267000,7631.249764,-67.489969
2012/12/18,7620.290039,7643.740234,7616.040039,7643.740234,2017800,7643.710165,12.460401
2012/12/19,7671.129883,7685.629883,7647.009766,7677.470215,2504600,7677.440012,33.729847
2012/12/20,7646.129883,7646.129883,7574.560059,7595.459961,2252400,7595.430081,-82.009931
2012/12/21,7592.569824,7608.810059,7491.52002,7519.930176,2356200,7519.900593,-75.529488
2012/12/24,7542.660156,7566.089844,7520.620117,7535.52002,1590800,7535.490375,15.589782
2012/12/25,7556.240234,7654.600098,7543.830078,7636.569824,1870600,7636.539783,101.049408
2012/12/26,7646.509766,7683.089844,7633.830078,7634.189941,1974200,7634.159909,-2.379874
2012/12/27,7634.799805,7661.009766,7622.72998,7648.410156,1801600,7648.380068,14.220159
2012/12/28,7700.870117,7708.310059,7665.040039,7699.5,1978600,7699.469711,51.089643
2013/1/2,7738.049805,7793.47998,7715.259766,7779.220215,2194600,7779.189612,79.719901
2013/1/3,7826.339844,7855.160156,7815.290039,7836.839844,2964400,7836.809014,57.619402
2013/1/4,7818.27002,7818.27002,7773.060059,7805.990234,2696800,7805.959526,-30.849488
2013/1/7,7797.049805,7797.049805,7725.470215,7755.089844,2421000,7755.059336,-50.90019
2013/1/8,7737.069824,7751.799805,7692.97998,7721.660156,2211200,7721.62978,-33.429556
2013/1/9,7726.399902,7763.970215,7703.22998,7738.640137,2471400,7738.609694,16.979914
2013/1/10,7780.97998,7825.060059,7760.089844,7811.640137,3319400,7811.609406,72.999712
2013/1/11,7843.569824,7845.359863,7801.689941,7819.149902,2405200,7819.119143,7.509737
2013/1/14,7795.680176,7823.970215,7731.319824,7823.970215,2142800,7823.939436,4.820293
2013/1/15,7823.509766,7823.509766,7744.390137,7765.02002,2520200,7764.989473,-58.949963
2013/1/16,7766.089844,7769.180176,7700.430176,7700.430176,2272200,7700.399883,-64.58959
2013/1/17,7748.569824,7774.970215,7603.27002,7616.640137,2929200,7616.610174,-83.789709
2013/1/18,7697.279785,7732.870117,7676.109863,7732.870117,2113400,7732.839697,116.229523
2013/1/21,7725.359863,7739.370117,7674.180176,7724.919922,1515400,7724.889533,-7.950164
2013/1/22,7746.790039,7759.470215,7699.25,7759.100098,1580400,7759.069574,34.180041
2013/1/23,7773.200195,7773.200195,7730.100098,7744.180176,1655600,7744.149711,-14.919863
2013/1/24,7717.040039,7724.680176,7653.620117,7695.990234,1862000,7695.959959,-48.189752
2013/1/25,7695.25,7704.310059,7637.200195,7672.580078,1697200,7672.549895,-23.410064
2013/1/28,7685.669922,7717.350098,7685.669922,7714.669922,1602400,7714.639573,42.089678
2013/1/29,7744.149902,7802,7739.600098,7802,1904200,7801.969308,87.329735
2013/1/30,7832.950195,7847.209961,7804.709961,7832.97998,2252800,7832.949166,30.979858
2013/1/31,7832.870117,7850.02002,7800.899902,7850.02002,2116800,7849.989138,17.039972
2013/2/1,7853.75,7866.22998,7832,7855.970215,1838800,7855.93931,5.950172
2013/2/4,7882.759766,7929.970215,7880.290039,7923.160156,2678600,7923.128987,67.189677
2013/2/5,7896.669922,7896.669922,7863.910156,7886.939941,2316000,7886.908915,-36.220072
2013/2/6,7925.259766,7941.649902,7906.649902,7906.649902,2554200,7906.618798,19.709883
2013/2/18,8000.689941,8005.72998,7927.950195,7943.529785,2578000,7943.498536,36.879738
2013/2/19,7974.399902,7974.399902,7946.089844,7960.879883,2308600,7960.848565,17.350029
2013/2/20,8021.310059,8029.100098,7995.160156,8029.100098,2992000,8029.068512,68.219947
2013/2/21,8020.52002,8020.52002,7957.459961,7957.459961,2235600,7957.428657,-71.639855
2013/2/22,7947.879883,7970.240234,7913.160156,7947.720215,2307600,7947.688949,-9.739708
2013/2/25,7986.870117,7995.109863,7947.680176,7947.680176,2144800,7947.64891,-0.040039
2013/2/26,7891.410156,7927.490234,7871.22998,7880.899902,1918400,7880.8689,-66.78001
2013/2/27,7886.029785,7912.850098,7873.290039,7897.97998,1921400,7897.948911,17.080011
2013/2/28,7897.97998,7897.97998,7897.97998,7897.97998,0,7897.948911,0
2013/3/1,7917.720215,7964.629883,7917.720215,7964.629883,2114200,7964.598551,66.64964
2013/3/4,7966.220215,7966.220215,7849.52002,7867.339844,2278000,7867.308894,-97.289657
2013/3/5,7910.439941,7939.850098,7882.560059,7932.709961,2246200,7932.678754,65.36986
2013/3/6,7958.109863,7982.390137,7936.859863,7950.299805,2329600,7950.268529,17.589775
2013/3/7,7950.899902,7984.290039,7942.370117,7960.509766,2261400,7960.47845,10.209921
2013/3/8,7981,8029.140137,7981,8015.140137,2719000,8015.108606,54.630156
2013/3/11,8021.879883,8089.209961,8001.850098,8038.720215,2878800,8038.688591,23.579985
2013/3/12,8039,8063.22998,7986.589844,7994.709961,2738000,7994.67851,-44.010081
2013/3/13,8018.899902,8047.560059,7962.419922,7995.509766,2224400,7995.478312,0.799802
2013/3/14,8002.419922,8002.709961,7946.290039,7951.759766,2150200,7951.728484,-43.749828
2013/3/15,7989.669922,7999.919922,7924.939941,7927.490234,2530400,7927.459048,-24.269436
2013/3/18,7886.689941,7888.160156,7807.609863,7811.339844,2031400,7811.309115,-116.149933
2013/3/19,7843.470215,7863.77002,7823.810059,7838.470215,1804200,7838.439379,27.130264
2013/3/20,7834.72998,7844.540039,7786.560059,7798.029785,1954200,7797.999108,-40.440271
2013/3/21,7828.950195,7843.160156,7811.839844,7811.839844,1695800,7811.809113,13.810005
2013/3/22,7811.52002,7832.589844,7796.220215,7796.220215,1727200,7796.189545,-15.619568
2013/3/25,7862.580078,7877.049805,7854.470215,7856.120117,1806800,7856.089212,59.899667
2013/3/26,7873.700195,7876.680176,7845.560059,7856.359863,1850200,7856.328957,0.239745
2013/3/27,7872.75,7894.259766,7857.319824,7894.120117,1851200,7894.089062,37.760105
2013/3/28,7905.709961,7905.709961,7844.839844,7866.879883,1813200,7866.848935,-27.240127
2013/3/29,7904.5,7931.700195,7883.810059,7918.609863,1594000,7918.578712,51.729777
2013/4/1,7934.25,7937.72998,7896.569824,7899.240234,1560000,7899.20916,-19.369552
2013/4/2,7897.160156,7924.459961,7879.549805,7913.180176,1638000,7913.149046,13.939886
2013/4/3,7949.120117,7954.149902,7913.77002,7942.350098,1919600,7942.318853,29.169807
2013/4/8,7831.220215,7843.100098,7747.470215,7752.790039,2561600,7752.75954,-189.559313
