company name,index,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2,2012Q1
大田,8924,15.74,8.41,37.13,23.89,15.4,9.57,35.37,22.69,14.99,8.89,36.42,22.83,15.82,8.44,41.99,29.39,21.37,12.75
台汽電,8926,1.04,0.51,2.63,2.06,1.09,0.51,2.75,2.09,1.44,0.65,4.54,3.4,2.41,1.24,5.62,4.06,2.55,1.49
北基,8927,8.78,4,17.63,13.02,8.27,3.78,29.53,23.05,15.1,7.46,37.08,28,18.42,9.66,37.87,29.07,19.71,9.92
鉅明,8928,19.21,12.17,39.91,26.78,19.45,13.3,42.64,26.43,22.07,10.53,32.5,22.65,14.64,7.76,38.05,28.68,22.3,12.12
富堡,8929,15.29,7.71,38.37,28.28,19.21,9.35,36.4,26.85,17.61,8.93,42.74,31.14,20.55,9.65,53.94,40.15,28.04,13.67
青鋼,8930,8.35,3.49,16.39,12.68,8.87,4.44,20.75,15.99,10.85,4.98,21.34,16.04,10.18,4.77,26.65,20.62,13.84,6.88
大汽電,8931,5.51,2.77,12.03,9.09,5.97,3,13.07,9.8,6.34,3.03,12.32,9.1,5.94,2.86,11.39,8.43,5.22,2.46
宏大,8932,14.4,6.87,22.39,19.49,14.14,5.91,22.83,19.07,14.09,6.45,25.43,19.62,13.95,4.9,21.44,16.73,11.47,4.88
愛地雅,8933,14.42,7.96,41.08,30.02,18.54,10.05,28.7,19.45,13.14,7.86,34.62,24.63,16.62,9.35,38.05,26.72,17.92,9.19
衡平,8934,33.34,18,81.06,59.11,39.33,20.64,91.33,67.47,44.22,22.83,110.48,81.33,52.35,32.72,134.46,97.58,60.7,30.26
邦泰,8935,2.84,1.64,5.96,4.67,2.9,1.63,6.13,4.38,2.47,1.32,7.34,5.65,4.04,2.1,4.56,3.51,2.55,1.48
國統,8936,7.46,3.94,19.66,16.43,11.79,5.61,21.18,14.88,9.17,4.3,12.55,8.79,5.19,2.12,9.47,5.46,3.47,1.75
合騏,8937,3.51,1.79,5.76,4.74,2.76,1.13,6.52,5.46,4.1,1.52,5.84,4.82,3.42,1.37,5.81,4.45,2.47,1.07
明安,8938,32.07,17.96,65.88,45.9,31.11,18.87,70.96,51.33,39.22,23.72,85.44,61.57,46.67,28.14,91.13,67.77,53.41,29.56
新天地,8940,11.77,7.48,24.48,16.88,13.34,7.79,23.32,16.7,12.8,7.34,19.21,13.37,9.67,5.9,20.83,15.22,11.17,6.87
關中,8941,54.22,24.49,118.4,90.44,61.82,27.41,137.31,111.89,72.51,34.46,160.34,127.05,90.05,42.91,23.99,19.16,13.79,6.8
森鉅,8942,15.93,7.91,31.21,24.01,17.39,8.51,23.68,17.13,12.68,5.99,20.39,15.02,10.91,5.68,23.8,19.32,13.13,5.6
高力,8996,15.05,6.99,24.37,17.7,11.66,6.17,28.73,22.31,14.7,6.81,30.03,23.08,15.02,7.32,26.19,18.96,11.62,5.37
美德醫療-DR,9103,1.62,,3.71,,1.59,,3.5,,1.66,,3.82,,2.27,,3.51,,1.63,
康師傅-DR,910322,24.15,12.06,53.34,44.79,26.83,12.97,57.82,45.92,29.34,15.13,58.28,46.56,29.07,14.12,47.83,39.18,24.22,10.17
聖馬丁-DR,910482,2.93,,6.59,,3.03,,3.85,,,,4.23,,6.5,,2.7,,6.99,
泰金寶-DR,9105,10.38,4.89,29.87,22.92,15.35,8.5,34.12,22.99,14.12,6.83,27.07,20.99,17.7,7.47,32.66,25.65,16.65,7.97
新焦點-DR,9106,0.69,,1.37,,0.7,,1.89,,0.88,,2.36,,1.09,,11.02,,5.28,
恒大健-DR,910708,0.09,,0.31,,0.19,,1.05,,2.03,,1.14,,2.22,,1.18,,2.25,
金衛-DR,910801,0.17,,0.4,,1.18,,2.4,,1.19,,1.27,,0.6,,1.86,,0.37,
神州-DR,910861,19.24,,41.2,39.1,23.43,62.1,256,177.82,112.7,59.39,244.47,185.07,117.45,60.41,265.3,194.72,130.2,62.81
