company name,index,2016Q3,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2,2012Q1
三陽工業,2206,1.45,1.24,-0.62,-1.27,1.2,0.65,0,-2.31,-1.46,-1.42,-2.71,-2.75,-1.08,-0.62,0.19,0.5,1.35,1.98,2.22
和泰車,2207,6.15,5.98,6.08,5.68,6.22,6.64,6.72,5.29,6.01,5.94,6.73,5.19,5.47,5.12,5.3,4.96,5,4.92,5.17
台船,2208,-8.08,-0.18,0.44,2.03,1.34,1.48,1.53,1.99,1.36,1.05,1.02,1.37,1.87,2.76,3.15,1.53,2.08,2.14,1.81
大甲,2221,8.74,6.3,7.51,11.23,9.58,8.43,4.09,5.06,5.64,6.39,2.15,2.49,3.29,5.49,4.88,5.59,7.91,6.69,8.18
裕日車,2227,3.78,3.98,4.03,3.72,3.68,4.03,3.64,2.37,2.26,1.92,0.66,5.82,6.47,5.07,3.62,2.95,3.39,3.71,3.07
劍麟,2228,20.4,20.37,21.05,17.86,17.05,15.81,16.55,16.24,16.5,16.66,16.07,13.14,13.39,13.51,12.88,11.72,,11.06,
泰茂,2230,0.89,-1.25,4.35,2.62,4.04,5.53,7.33,4.95,2.83,4.15,2.17,4.27,3.83,2.97,3.61,8.18,8.56,7.66,
為升,2231,41.81,41.38,43.17,44.26,44.26,44.95,44.99,38.09,37.08,36.48,34.65,27.51,26.02,25.71,24.14,22.56,22.05,21.29,20.11
宇隆,2233,19.55,17.28,15.76,15.51,15.98,17.45,16.44,19.04,20.01,21.73,18.45,19.62,19.37,19.7,18.02,18.32,18,17.95,16.19
謚源,2235,22.72,22.34,23.34,23.08,23.59,22.82,24.08,19.11,19.29,19.73,17.3,15.72,15.72,13.32,,11.75,,11.23,
百達-KY,2236,12.9,13.38,12.92,7.07,7.35,5.8,9.37,11.56,11.56,10.27,10.4,13.29,8.99,,,,,,
英利-KY,2239,13.26,14.5,14.23,10.68,9.95,10.11,11.08,10.34,,,,,,,,,,,
光寶科,2301,5.04,4.26,4.09,3.99,3.6,3.2,3.32,3.09,3.32,3.42,2.7,4.71,4.83,4.53,4.21,5.04,4.91,4.53,3.96
麗正,2302,-6.28,-5.88,-11.84,-2.55,-1.55,-6.65,-11.58,11.96,-2.51,-8.71,-10.23,-2.74,-7.56,-5.07,-9.01,-16.27,-13.88,-15.2,-20.37
聯電,2303,3.58,3.41,-0.05,7.48,8.07,10.54,10.89,7.2,5.39,5.71,2.97,3.26,4.12,2.42,1.06,3.03,5.11,4.33,1.01
全友,2305,-10.67,-9.17,-14.59,-9.34,-8.17,-5.53,-2.25,-6.77,-9.29,-7.05,-8.21,-17.29,-18.05,-17.21,-22.29,-11.61,-13.54,-14.61,-17.12
台達電,2308,9.82,9.05,8.13,10.08,10.25,9.8,9.88,11.97,12.29,12.23,11.86,11.02,10.73,10.77,10.92,10.1,8.67,7.6,5.83
日月光,2311,9.39,8.91,8.35,8.78,8.7,8.68,9.73,11.55,11,10.33,9.3,10.03,9.7,9.1,7.48,9.16,8.57,7.89,6.6
金寶,2312,1.07,0.96,0.53,1.44,1.36,1.66,1.72,2.17,2.16,2.74,1.99,2.57,3.34,4.04,3.92,2.73,2.48,2.08,0.84
華通,2313,6.83,6.03,6.21,10.08,9.53,9.18,8.57,8.42,7.73,7.26,7.1,8.96,8.57,7.57,6.78,6.64,6.12,4.97,5.29
台揚,2314,3.03,3.17,3.82,-1.69,-3.39,-4.16,0.54,-6.64,-6.67,-7.96,-8.86,-12.44,-11.98,-11.82,-16.86,-13.96,-14.34,-11.55,-13.21
楠梓電,2316,-0.36,-0.01,-1.29,3.28,3.7,4.31,3.94,4.59,4.77,4.55,2.87,1.92,1.1,-0.65,-2.7,1.45,0.53,0.09,-0.45
鴻海,2317,3.32,2.99,3.69,3.66,3.6,3.61,3.81,3.4,2.96,2.77,2.37,2.77,2.45,1.91,1.72,2.78,2.41,1.94,1.52
東訊,2321,1.27,1.24,0.57,-1.95,-2.35,-3.33,-1.11,-0.21,0.14,0.59,-1.87,0.86,0.55,0.26,-0.29,-7.29,-7.34,-6.54,-4.71
中環,2323,-10.39,-9.28,-11.36,-13.24,-11.59,-10.49,-11.63,-9.61,-10.44,-10.65,-11.92,-16.35,-14.17,-12.99,-12.97,-3.44,-0.2,1.45,0.21
仁寶,2324,1.58,1.49,1.57,1.34,1.34,1.42,1.63,1.38,1.22,1.39,1.35,1.33,1.36,1.31,1.24,1.47,1.53,1.65,1.68
矽品,2325,12.31,11.61,9.78,16,16.1,16.8,16.67,16.64,16.17,15.85,13.26,11.44,10.47,8.06,4.61,9.97,9.97,9.26,6.87
國巨,2327,14.08,14.17,14.32,12.89,13.39,14.12,14.57,14.91,15.64,15.31,13.57,11.8,12.29,10.79,9.13,9.71,10.63,9.07,5.87
廣宇,2328,0.48,0.39,2.32,1.69,1.25,-0.78,-3.83,1.75,2.27,2.46,1.93,1.85,1.76,2.15,4.06,5.14,3.53,2.82,2.25
華泰,2329,6.39,7.84,8.57,8.51,8.05,8.25,7.56,7.16,7.04,6.54,5.72,0.57,-0.81,-3.32,-5.27,2.32,2.9,3.71,3.13
台積電,2330,39.09,38.04,34.63,37.94,37.83,38.29,39.01,38.79,38.43,37.2,35.43,35.08,35.83,35.36,33.47,35.76,35.95,35.17,33.59
精英,2331,-8.94,-18.39,1.91,3.2,3.53,3.27,3.71,2.89,3.02,3.37,2.19,1.79,2.17,1.95,1.77,0.92,0.94,0.92,0.13
友訊,2332,-5.93,-6.03,-3.17,-5.96,-3.06,-2.58,-2.2,1.01,0.75,0.8,1.2,1.3,1.06,-0.08,1.88,2.13,1.74,0.93,2.98
旺宏,2337,-5.62,-16.08,-15.83,-23.91,-22.63,-24.98,-26.51,-28.18,-25.3,-31.4,-26.5,-28.63,-29.91,-41.1,-47.59,-21.97,-19.33,-21.42,-19
光罩,2338,-12.18,-10.07,-12.98,-6.59,-7.02,-10.38,1.37,2.05,2.33,3.44,3.37,1.17,0.48,0.6,-2.35,8.72,10.18,10.45,7.74
光磊,2340,11.33,10.43,11.45,10.04,10.81,10.66,11.94,11.82,11.61,11.45,11.31,7.62,7.29,6.08,5.04,5.86,5.98,4.92,3.61
茂矽,2342,2.06,-2.41,-5.16,-37.92,-43.36,-48.12,-42.95,-49.43,-42.53,-35.9,-36.93,-61.95,-63.18,-70.37,-73.97,-61.51,-40.86,-27.12,-49.27
華邦電,2344,8.87,9.19,9.97,10.71,10.8,11.91,13.03,9.63,8.89,7.65,5.95,2.31,2.27,1.57,-3.41,-3.84,-3.23,-4.27,-7.94
智邦,2345,8.1,8.28,9.1,5.99,5.04,3.92,2.92,1.13,1.47,1.74,0.92,1.73,1.47,1.69,0.42,3.4,3.63,2.77,2.94
聯強,2347,1.16,1.22,1.42,1.23,1.41,1.33,1.4,1.34,1.41,1.27,1.14,1.17,1.17,1.1,0.84,1.43,1.63,1.77,2.01
海悅,2348,9.78,11.79,9.21,13.04,15.09,16.61,23.66,19.75,28.38,35.85,44.76,39.25,37.57,37.86,-110.55,-18.62,-15.62,-13.57,-13.28
錸德,2349,-11.11,-12.76,-13.27,-20.76,-18.99,-18.14,-19.97,-25.23,-26.78,-28.96,-29.66,-19.45,-16.73,-15.69,-16.43,-6.82,-6.11,-5.89,-8.06
順德,2351,12.21,11.53,10.36,8.63,9.13,9.32,8.81,9.55,9.61,8.84,7.11,7.32,7.51,6.37,4.91,5.86,6.29,5.63,5.99
佳世達,2352,3.5,3.89,3.42,1.95,1.66,1.67,1.39,2.19,2.39,2.44,2.68,1.31,0.81,0.5,-0.53,-0.48,-0.41,-0.66,-1.39
宏碁,2353,0.62,0.52,1.54,0.36,0.25,0.93,0.45,0.82,0.78,0.5,0.17,-3.17,-1.15,-0.32,0.03,0.24,0.28,0.26,0.12
鴻準,2354,17.29,17.99,17.49,12.24,13.01,13.37,12.19,11.57,9.13,7.47,4.55,7.37,6.76,9.21,8.46,6.82,6.93,7.84,8.59
敬鵬,2355,12.85,12.63,13,9.11,8.29,6.96,7.56,7.82,7.88,8.15,8.84,9.1,9.49,9.47,10.12,9.28,10,10,10.39
英業達,2356,1.85,1.94,1.96,1.37,1.43,1.51,1.8,1.63,1.54,1.64,1.67,1.63,1.58,1.43,1.37,0.87,0.75,0.68,0.49
華碩,2357,4.02,4.05,4.22,4.45,4.47,4.54,4.59,4.55,4.57,4.56,4.57,4.28,4.31,4.33,4.71,4.87,4.94,5.08,4.81
廷鑫,2358,-9.85,-11.26,-28.11,-11.5,-13.73,-11.69,-8.96,-1.86,-0.88,-1.74,-5.63,-6.09,-4.94,-4.78,-0.26,-2.54,-4.88,-9.35,-24.87
所羅門,2359,6.25,6.02,5.64,5.91,6.34,7.64,8.15,7.7,7.59,8.27,8.64,3.04,3.03,3.44,0.62,4.7,4.3,3.53,1.82
