company name,index,2016Q3,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2,2012Q1
驊宏資,6148,-1.45,0.26,-0.06,-0.15,0.72,0.79,1.04,1.34,1.07,0.96,1.72,1.14,0.61,1.02,1.18,0.55,0.6,1.07,0.34
撼訊,6150,0.89,1.08,1.16,-9.23,-7.78,-9.09,-2.04,-3.11,-2.57,-1.35,1.79,-3.34,-3.89,-1.19,0.27,-2.46,-1.53,-1.4,0.57
晉倫,6151,7.51,8.08,8.36,7.45,6.73,6.42,6.41,3.52,3.79,3.98,3.78,3.97,4.08,5.27,4.45,2.52,2.53,2.64,2.13
百一,6152,-1.24,-2.35,-2.81,-4.04,-4.87,-5.76,-7.54,-3.73,-3.81,-2.6,-1.81,2.94,3.22,4.07,5.46,3.4,4.18,4.5,3.34
嘉聯益,6153,-0.39,-1.26,-3.74,3.93,2.87,-1.86,-2.32,2.53,1.82,1.58,2.33,4.85,2.66,0.76,3.31,6.82,5.8,4.83,5.91
順發,6154,2.14,2.08,2.37,1.64,1.79,1.75,1.97,2.29,2.34,2.28,2.51,2.42,2.32,2.19,2.14,2.15,2.06,2.25,2.86
鈞寶,6155,9.86,11.51,8.44,16.46,18.57,7.87,5.29,18.05,14.23,10.75,19.53,17.1,16.47,17.21,21.68,16.08,15.65,11.72,16.04
松上,6156,6.17,5.88,6.1,4.93,5,3.93,2.7,3.44,2.98,2.32,-0.14,0.29,-0.18,0.17,-4.29,2.17,2.74,3.71,-5.18
禾昌,6158,7.35,6.56,4.8,0.56,-2.46,-8.08,-4.28,-7.54,-7.34,-10.83,-19.23,-11.48,-6.15,0.19,0.35,3.51,4.06,3.84,4.4
欣技,6160,7.65,10.85,14.47,3.64,-0.87,-1.63,0.88,2.48,1.07,1.16,4.52,3.01,4.16,4.65,1.88,5.23,6.88,11.17,10.86
捷波,6161,7.21,6.78,10.21,1.46,3.53,2.35,3.4,2.01,2.35,0.89,0.93,0.81,1.65,1.61,1.93,-4.32,1.7,1.55,1.93
華電網,6163,-6.11,-6.18,-8.13,-4.76,-2.76,0.29,-5.75,-2.58,-2.11,0.98,3.13,5.51,1.96,2.63,-14.99,5.54,5.53,5.14,3.55
華興,6164,10.72,14.55,3.67,3.24,3.59,4.3,2.99,7.39,7.55,6.95,3.63,9.06,8.84,8.71,7.34,1.91,1.72,0.39,0.03
