company name,index,2016Q3,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2,2012Q1
中福,1435,16180.31,-16358.11,-952.42,-82.71,-252.51,-23783.33,"24,000",-54.58,39.45,0.16,100.25,-1068.65,-4.05,-92.1,-29.27,98.27,-288.72,275.44,41.57
華友聯,1436,25.76,367.92,-211.36,3.13,-1.57,349.34,-462.75,1180.5,-143.48,1807.8,163.27,5.85,-12.45,134.75,-44.58,-164.46,55.71,-106.54,98.19
勤益控,1437,-111.9,469.81,78.2,-10.97,8.76,-9.12,-64.37,-111.29,-195.1,86.78,355.98,-4004.18,488.89,-511.42,-261.12,73.07,181.01,-143.21,-3.99
裕豐,1438,-0.62,-11.22,-110.86,-408.85,-36.93,-1076.83,"1,723.82",25.8,-1.15,11.49,-123.89,149.78,-113.17,-134.1,293.35,-7.91,22.66,20.2,-104.38
中和,1439,970.62,447.48,"-1,788.32",-152.93,24.49,4.15,107.25,142.04,130.86,-122.76,-203.11,-11.05,-0.87,115.22,16.23,-3.47,-0.76,18.57,75.14
南紡,1440,8.87,24.52,-94.2,27.99,11.44,85.36,79.31,-1.45,2.14,-1.08,-67.96,-54.11,-146.61,-871.41,"1,149.26",-84.8,190.55,21.67,-106.47
大東,1441,-43.66,-150.92,20.47,12.27,32.28,119.47,-106.98,-626.49,-19.12,-474.82,-373.72,15.82,-115.52,54.82,118.13,20.1,-12.34,10.13,-112.01
名軒,1442,85.85,15.31,-78.25,-27.11,8.53,124.17,-70.04,10.37,-0.94,-17.13,-60.42,-49.03,66.27,180.05,121.2,-8.96,-15.85,13.11,-44.06
立益,1443,-67.25,1.01,-40.07,-51.73,43.35,48.46,-26.21,187.77,98.27,474.72,-797.1,9.27,-41.78,-13.43,90.51,1908.96,-1640.12,-124.56,-201.04
力麗,1444,-68.92,35.41,-107.15,-34.8,-73.76,200.37,-15.53,7.49,5.08,-32.16,-47.07,6.99,-236435.08,236476.48,-73.74,46.36,68.51,-88.96,-27.37
