,,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率
company name,index,2016Q3,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2,2012Q1
台翰,s1336,-10.02,-10.75,-6.15,-8.16,-10.48,-12,-8.17,-1.9,1.98,2.65,3.83,0.3,-1.28,-0.68,1.19,-2.46,-3.37,-4.11,-0.9
再生-KY,s1337,9.09,9.31,9.21,7.83,6.36,5.18,8.1,21.06,21.79,22.79,25.08,17.93,23.42,22.87,24,24.94,26.44,26.77,26.57
廣華-KY,s1338,8.09,8.5,9.57,9.11,9.18,9.44,9.45,7.54,7.26,7.18,6.58,6.29,5.3,4.6,3.57,6.15,7.5,7.92,6.93
昭輝,s1339,6.79,8.73,8.78,16.19,16.46,13.79,19.42,20.93,20.55,20.66,22.91,17.95,17.07,19.15,22.31,14.56,13.77,13.29,13.93
勝悅-KY,s1340,28.45,28.16,25.97,26.98,28.07,26.32,25.91,30.19,30.54,31.47,36.68,26.23,26.42,25.28,25.82,25.13,,,
遠東新,s1402,5.79,5.7,4.97,6.74,7.81,9.35,8.64,7.22,8.2,8.53,6.09,8.77,8.08,8.14,6.28,6.35,6.87,7.94,7.91
新纖,s1409,2.63,2.52,2.32,2.24,3.53,1.89,2.48,4.13,5.09,5.55,7.4,4.03,4.37,4.14,3.25,3.46,3.47,3.05,3.43
南染,s1410,20.73,21.85,21.3,20.42,21.05,20.08,16.75,17.51,17,13.69,11.65,16.87,17.34,16.47,14.07,18.74,19.42,18.54,10.75
宏洲,s1413,-2.69,-1.87,-0.71,0.13,-1.5,0.57,-5.65,-7.04,-6.32,-3.89,-5.1,-6.38,-5.93,-8.06,-6.34,-6.78,-3.99,-3.6,-6.55
東和,s1414,-1.04,-1.25,-2.15,0.66,-0.99,-3.55,-5.53,3.49,1.98,4.88,6.45,10.17,10.82,13.26,10.49,6.43,6.14,5.31,7.23
廣豐,s1416,36.52,33.86,19.05,-2.59,2.52,9.14,17.89,41.36,147.07,50.25,-106.07,19.21,-43.98,-51.56,-26.24,59.76,53.52,58.09,3.72
嘉裕,s1417,-5.06,-1.7,-13.6,-10.83,-11.86,-10.49,-9.92,0.89,0.22,4.37,9.75,0.5,-4.04,-4.02,-1.19,5.24,6.61,9.67,13.34
東華,s1418,-8.99,-6.32,-5.23,-12.38,-10.64,-11.91,-19.21,-7.97,-6.62,-5.48,-9.95,-5.7,-6.42,-7.5,-5.26,-8.72,-9.83,-6.08,3.79
新紡,s1419,14.35,-4.43,-5.27,10.01,16.91,-9.27,-9.59,8.87,17.46,11.4,-4.3,16.35,24.41,24.16,-5.79,18.77,26.03,4.51,3.46
利華,s1423,2.56,2.82,3.02,-5.62,-3.91,-0.65,-11.8,-10.82,-12.35,-13.34,-27.09,-0.45,-3.84,-3.7,9.1,-9.53,-10.91,-4.33,8.63
大魯閣,s1432,-20,8.01,65.44,-35.75,-16.46,-31.16,-131,-110.6,-59.99,-166.3,-223.84,-12.69,-9.59,-12.93,-49.45,63.21,-8.29,-11.57,-29.28
福懋,s1434,11.14,5.96,7,7.52,7.62,6.12,5.58,7.93,8.28,5.61,4.95,4.59,4.6,4.98,4.49,5,5.99,4.36,3.62
中福,s1435,-30.78,-50.67,-111.79,-12.08,2.87,0.26,10.16,-6.15,4.96,0.09,0.05,-46.98,-14.08,-25.32,-20.78,4.43,55.94,109.19,-14.96
華友聯,s1436,4.05,3.33,-29.38,-14.17,-42.87,-48.12,-14.5,20.3,20.95,21.69,4.12,-11.84,-887.56,-954.02,-517.05,"-3,412.47","-8,083.41","-15,528.15",-311.53
勤益控,s1437,89.78,107.72,37.06,6.66,11.81,11.85,13.72,19.8,23.67,31.54,30.51,-43.95,-13.81,-8.22,-11.63,0.58,-3.02,-0.99,-2.85
裕豐,s1438,"-6,027.12","-4,401.75","-2,902.04",46.54,66.65,48.44,56.05,29.36,-479.1,-335.54,-130.21,48.86,46.02,43.97,38.12,44.85,86.44,36.64,-528.79
中和,s1439,-0.65,-3.01,-3.15,0.18,0.24,0.25,0.21,0.18,-0.59,-2.23,-3.65,0.36,0.54,0.8,2.05,-1.13,-1.08,-1.4,1.05
南紡,s1440,2.57,2.01,0.26,5.35,5.69,5.29,3.61,1.82,2.25,2.3,2.33,5.55,6.35,6.83,6.5,2.99,2.22,1.67,-1.39
大東,s1441,-13.5,-11.32,-6.18,-4.56,-4.23,-4.28,-6.73,-11.7,-9.57,-7.26,-4.8,-0.92,-1.13,0.96,1.79,0.51,-2.02,-0.45,-4.16
名軒,s1442,11.43,9.79,4.3,26.73,30.81,32.63,19.31,28.51,30.8,31.38,32.3,32.58,34.57,33.75,32.69,24.77,24.25,25.23,24.72
立益,s1443,-27.9,-32.51,-49.12,-15.62,-12.33,-20.61,-34.18,-13.66,-25.14,-20.21,-19.62,-7.69,-6.32,-4.19,-2.11,-12.84,-10.7,-14.12,-14.31
力麗,s1444,-1.97,1.19,-0.27,3.93,4.39,3.76,3.24,2.01,1.9,1.23,3.86,5.62,6.75,5.68,7.1,5.39,4.87,-2.43,15.43
大宇,s1445,4.33,4.78,3.37,4.87,5.11,4.38,3.49,1.52,1.57,2.18,2.35,3.13,3.7,3.9,3.84,1.14,1.46,1.88,1.72
宏和,s1446,6.58,3.51,1.22,-4.35,-0.08,0.21,2.56,1.58,2.95,5.08,7.46,-1.48,0.84,3.75,6.03,-3.83,-1.39,2.25,14.38
力鵬,s1447,-2.79,-1.82,-5.97,0.28,0.81,0.27,-2.47,1.55,2.17,1.41,3.75,4.04,4.27,4.26,5.1,0.1,-1.24,-4.19,3.81
佳和,s1449,-7.98,-11.46,-17.12,-8.73,-11.71,-13.25,-10.56,-0.18,-7.48,-8.48,-12.96,-3.61,-4.89,-3.54,-7.35,-9.15,-11.47,-2.83,-2.05
年興,s1451,6.17,6.68,7.6,5.25,4.34,1.5,1.72,5.25,5.65,6.09,8.29,5.68,6,5.98,4.7,5.74,7.31,8.95,10.58
宏益,s1452,9.7,8.12,7.7,18.71,21.98,22.87,15.2,8.2,8.21,7.73,7.42,6.36,4.99,4.56,5.39,4.05,5.42,3.83,6.18
大將,s1453,-1.99,-0.41,51.31,17.06,20.37,24.21,-53.97,-20.08,-18.31,-21.25,-6.84,6.52,-4.17,3.73,-4.63,16.94,9.85,-3.04,-14.05
台富,s1454,3.47,3.87,1.92,5.07,5.54,5.85,4.88,3.25,3.17,2.08,1.47,1.76,2.11,1.92,0.42,-0.89,-0.45,-0.53,-2.61
集盛,s1455,1.01,1.04,0.52,0.88,0.97,2.47,-1.66,0.32,0.22,0.05,1.78,2.01,2.04,2.58,4.03,-0.58,-1.11,-2.08,4.61
怡華,s1456,-9.64,-13.51,-24.12,20.42,-13.43,-15.78,-16.06,-123.2,-158.61,-24.88,-13.76,1.84,-12.34,-11.64,-5.14,-13.69,-7.32,-6.57,-3.18
宜進,s1457,1.96,3.29,3.42,11.93,15.95,28.16,14.59,2.32,4.15,4.82,2.03,4.14,2.44,0.22,0.26,1.59,2.68,4.46,2.88
聯發,s1459,-2.75,-2.42,-2.71,5.89,8.44,10.38,8.83,4.35,4.85,1.86,1.24,4.32,1.07,-1.1,-1.24,-1.08,-1.64,-2.71,-2.88
宏遠,s1460,4.81,4.86,5.52,5.51,4.46,4.46,5.26,4.58,3.75,3.67,4.08,3.01,2.66,3.41,4.32,7.86,10.69,15.43,27.96
強盛,s1463,27.18,24.8,24.68,16.71,13.68,10.58,16.57,16.72,6.93,6.21,4.43,6.31,-0.63,-1.12,-0.34,-7.36,-9.3,-10.31,-13.84
得力,s1464,5.49,5.3,5.86,5.58,5.87,5.9,5.08,15.68,0.97,1.21,0.2,-0.86,-0.67,0.14,0.05,1.4,0.21,0.42,0.21
偉全,s1465,4.4,5.11,5.76,5.85,6.18,4.47,6.1,5.8,6.16,7.29,7.77,5.38,4.77,4.74,2.42,3.96,3.76,4.21,3.55
聚隆,s1466,-3.05,-3.85,-5.36,0.2,0.39,-0.47,0.02,1.08,0.81,1.28,1.79,1.88,1.89,1.49,1.57,1.84,1.67,1.66,1.38
南緯,s1467,-0.02,-1.09,-1.71,-0.81,-0.16,-0.74,-0.68,0.89,1.19,-0.07,0.15,1.53,2.53,2.06,2.51,3.12,4.58,6.24,2.06
昶和,s1468,-5.57,2.51,-0.83,-10.32,-9.44,-7.24,-6.15,-11.29,-8.24,-6.51,-10.46,-6.41,-10.46,-4.78,-10.96,-34.1,-31.06,-23.67,-22.27
理隆,s1469,-12.61,-7.69,-6.27,-1.4,1.49,3.61,-13.57,-0.01,1.87,1.4,-3.78,1.46,2.45,3.4,11.01,3.97,7.25,5.31,1.66
大統染,s1470,6.22,8.17,8.9,8.02,7.4,6.54,7.65,8.92,8.27,9.65,9.89,4.38,3.7,3.06,4.44,2.12,1.47,3.38,5.25
首利,s1471,-27.45,-27.78,-31.08,-20.6,-16.84,-19.83,-16.17,-2.04,-2.01,-3.34,-5.51,0.55,-0.05,0.55,-1.1,-4.55,-3.41,-5.33,-3.44
三洋紡,s1472,10.06,19.13,60.48,-5.03,-3.27,-1.79,-16.07,-6.59,-6.13,-7.6,-8.53,-11.99,-13.67,-19.46,-17.67,-19.06,-13.48,-19.92,-12.04
台南,s1473,3.21,3.24,5.8,-2.01,-1.99,-2.64,0.76,-1.52,-3.21,-2.55,-0.08,-0.8,-0.55,0.73,3.12,0.2,-1,-2.57,0.43
