company name,index,2016Q3,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2,2012Q1
華泰,2329,79624,197013,228407,342298,216461,262413,246933,246310,220826,118488,95971,4075,2363,-91215,-192059,-26110,-28405,51254,36152
台積電,2330,96789113,72528279,64792597,72842055,75317300,79412904,78983908,79965622,76300627,59655879,47841830,44787139,51934752,51761503,39535543,41484388,49345233,41768736,33365332
精英,2331,451253,-1784359,146798,-10239,463840,309285,348319,190874,382064,443666,285248,2511998,433105,344844,219037,68223,40317,236703,27702
友訊,2332,-366627,-468952,-210014,-968592,-513020,-119826,-224299,67783,-115956,74102,85532,314190,334779,-103684,130995,272016,292074,-1571,241368
旺宏,2337,632732,-690704,-890787,-1666131,-950867,-1222467,-356476,-2292405,-1099342,-1800244,-1283536,-1511714,-907286,-1853822,-2085417,-1796240,-1200164,-1407640,-1113879
光罩,2338,-62299,-23337,-57340,-644,26341,-156434,1625,10940,5748,13680,26360,30836,16053,20669,-2119,3913,68380,62944,31240
光磊,2340,290499,273284,116095,159526,158833,147028,107986,135905,137131,160281,128374,98019,121451,106194,94383,61048,104994,107874,62071
茂矽,2342,-331,-23500,-99431,-92644,-45654,-393237,-461974,-131999,-214434,-118552,47337,-300288,-161614,-522982,-203447,-492960,-286225,-44204,-143500
華邦電,2344,717138,744532,807537,842181,730568,863149,1036975,1067252,961655,784293,397344,71760,136625,416373,-337392,-541598,-255651,-209672,-608187
智邦,2345,480339,478534,398116,451135,379984,225319,109497,235602,64686,153945,189003,156700,135419,195007,69243,199287,349876,189587,138881
聯強,2347,1265975,1169428,1270887,491797,347303,1369177,1210400,1446023,1549509,1214289,1045375,1403268,1413847,1572288,1043105,1388159,1408767,1229557,1789628
海悅,2348,2765,2413,5381,770,45283,-1516,45799,-41640,49457,101058,243480,185487,85995,77202,-10358,-5386,939,-679750,-6958
錸德,2349,-377368,-415624,-499571,-953911,-576821,28944,-751010,-1111168,-663638,-1019010,-942272,-1451006,-660991,-684142,-680469,-1028785,-386805,-381792,-548973
順德,2351,215659,196704,167187,121198,215222,137868,155993,218357,246501,173258,142745,124269,176684,153198,96676,28258,132622,100716,74065
佳世達,2352,1231683,735823,426061,198375,583083,791317,672709,860060,1095062,954568,423449,847213,535775,794504,-771514,-1134813,-1320900,-1080249,302722
