company name,index,2016Q3,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2,2012Q1
韋僑,6417,-6.04,-8.24,-3.3,33.85,38.9,36.99,21.77,7.44,,6.35,,-1.74,,-8.08,,8.98,,9.72,
京晨科,6419,-16.19,-19.33,-15.98,-17.75,-18.55,-17.7,-17.3,-7.74,-10.5,-10.04,-5.31,25.34,,45.6,,23.3,,53.58,
君耀-KY,6422,20.07,19.02,19.31,8.41,6.53,7.17,10.67,28.57,27.66,39.18,44.87,21.03,,,,0.87,,,
統新,6426,-7.17,-11.73,-18.17,5.8,1.81,1.42,0.55,13.23,28.65,39.96,69.05,-13.67,,,,41.82,,,
光麗-KY,6431,-51.34,-48.09,-39.39,-58.33,-63.95,-65.61,-60.4,-12.13,5.86,20.38,,63.67,,,,4.43,,,
今展科,6432,-1.37,1.26,3.88,10.93,11.67,13.49,22.99,17.92,,17.92,,5.3,,,,-0.24,,,
大中,6435,26.83,25.48,19.56,0.58,-15.01,-20.06,,6,,4.45,,5.71,,2.66,,-5.55,,,
光聖,6442,8.19,4.25,5.83,10.05,10.58,16.1,25.06,19.63,,15.08,,-7.26,,-3.96,,13.53,,,
元晶,6443,14.39,31.2,28.89,13.82,11.45,2.67,11.93,27.84,,56.5,,107.08,,62.23,,605.39,,,
藥華醫,6446,-52.9,-49.17,-54.12,-13.23,-34.66,-47.07,,-81.53,,-84.07,,154.01,,"2,169.62",,80.7,,,
鈺邦,6449,12.97,9.66,2.75,-3.02,-6.39,-10.37,-5.8,13.11,20.06,26.23,,1.59,,-3.54,,27.86,,,
訊芯-KY,6451,-23.61,-29.3,-42.58,9.97,27.01,71.08,123.34,44.72,30.22,8.63,,-3.09,,,,-29.76,,,
康友-KY,6452,0.35,2.66,1.2,11.83,13.97,14.39,17.78,17.42,16.63,16.48,,18.21,,,,24.5,,,
GIS-KY,6456,-11.45,2.54,28.72,23.32,8.37,-7.24,-9.66,-5.43,-4.38,,,128.8,,,,"74,513.32",,,
紘康,6457,3.17,-2.01,-2.03,16.06,17.28,21.63,27.63,15.76,15.83,18.27,,9.01,,,,5.22,,,
神盾,6462,122.77,210.99,80.76,"1,075.31","1,050.94",569.37,535.73,-45.67,,-58.04,,-39.97,,,,-32.38,,,
台數科,6464,-2.25,-2.18,-1.13,-1.67,-0.76,-0.18,-0.45,-5.21,,-5.46,,-10.33,,,,,,,
威潤,6465,1.81,16.67,9.36,22.75,27.63,33.07,,24.05,,11.43,,43.62,,,,28.79,,,
大樹,6469,29.34,30.68,32.75,29.92,32.9,34.78,,46.32,,40.49,,24.71,,,,36.15,,,
宇智,6470,-4.3,-8.14,-12.86,22.49,41.84,55.43,83.96,48.13,,51.96,,49.38,,,,3.96,,,
安集,6477,-26.63,0.98,-7.16,3.18,-4.98,-6.43,,59.59,,49.35,,87.71,,,,-56.6,,,
弘煜科,6482,103.98,80.86,123.06,206.49,,233.43,,-0.34,,-17.04,,35.04,,,,1.3,,,
點序,6485,7.86,27.31,18.16,-20.78,-27.99,-31.28,-29.63,95.35,,197.08,,87.36,,,,-40.04,,,
互動,6486,-3.96,-12.94,-20.54,-0.24,,7.17,,29.81,,70.37,,53.27,,,,534.86,,,
環球晶,6488,0.21,-5.94,-9.82,-3.84,-1.48,3.69,9.2,2.26,,-2.46,,10.89,,,,"2,849.80",,,
九齊,6494,18.69,21.93,28.76,-1.73,-4.39,-6.37,,8.77,,10.56,,23.85,,,,10.67,,,
科懋,6496,20.24,12.14,14.36,7.96,8.14,11.41,12.54,20.38,,20.74,,19.2,,,,-1.86,,,
益安,6499,,,,,,,,,,,,,,,,,,,
南六,6504,0.63,-1.21,-3.57,10.82,15.02,15.82,18.25,16.98,18.14,20.02,29.65,23.44,21.72,19.88,16.38,5.14,47.29,3.99,
台塑化,6505,-17.81,-21.71,-19.71,-31.06,-33.35,-29.8,-41.13,-1.96,5.11,7.72,6.27,4.13,5.27,2.65,7.63,11.75,8.61,-0.61,1.29
雙邦,6506,0.68,-1.94,0.71,1.44,0.37,2.55,3.98,9.99,12.63,15.66,19.74,14.06,10.49,5,-4.63,-1.77,-2.61,-7.14,2.85
惠光,6508,-3.05,-9.42,-20.63,-14.06,-10.86,-10.98,-0.36,13.78,14.78,19.02,10.15,6.73,0.76,-2.8,-3.23,1.33,5.36,8.78,13.96
聚和,6509,-0.98,-0.03,3.78,-5.78,-7.58,-6.73,-9.03,-3.91,-5.39,-6.35,-0.82,4.42,5.11,5.36,6.51,-4.96,-5.06,-0.12,-2.16
精測,6510,55.53,56.16,51.91,61.99,65.65,96.23,,50.9,,20.27,,26.13,,,,39.57,,,
啟發電,6512,9.59,11.42,14.55,-0.06,2.63,14.79,,41.16,,29.69,,2.9,,,,60.46,,,
芮特-KY,6514,-23.68,-18.07,-10.01,223.39,783.78,,,-62.54,,,,3,,,,,,,
達爾膚,6523,37.63,53.16,60.37,30.54,35.73,44.91,,17.21,,,,23.94,,,,,,,
捷敏-KY,6525,9.34,11.42,10.18,1.02,-4.06,-3.63,,23.09,,,,-8.36,,,,,,,
愛普,6531,10.13,11.34,0.93,7.01,,4.03,,-8.99,,,,28.76,,,,,,,
瑞耘,6532,-10.61,-23.94,-23.83,-3.35,,2.72,,14.37,,,,5.05,,,,,,,
順藥,6535,,,,,,,,,,,,-100,,,,,,,
倉和,6538,-1.08,7.47,11.52,1.59,,-6.53,,6.89,,,,5.61,,,,,,,
隆中,6542,64.41,79.99,69.09,106.96,,610.57,,341.84,,,,180.43,,,,,,,
長華科,6548,34.99,37.97,72.88,-3.94,,-3.58,,14.77,,,,127.17,,,,,,,
中美冠科-KY,6554,34.74,14.07,26.49,37.89,,38.62,,26.96,,,,26.8,,,,,,,
醫揚,6569,17.21,30.31,42.87,19.88,,9.64,,18.37,,,,31.14,,,,,,,
富強鑫,6603,-2.3,-1.77,-6.2,-6.14,0.02,5.65,22.38,11.08,4.84,1.79,-1.85,-1.05,-0.85,-3.99,-4.58,-13.85,-10.34,-14.1,-15.78
帝寶,6605,8.88,11.66,17.36,2.43,-1.19,-3.51,-3.94,7.86,9,12.75,17.13,8.04,8.17,4.98,0.47,4.96,4.35,3.61,2.9
瀧澤科,6609,-15.6,-20.54,-23.56,-11.71,-16,-14.16,-8.72,11.75,17.64,27.22,37.27,3.98,4.23,-8.61,-18.4,-12.54,-13.28,-4.89,0.88
興航,6702,13.64,18.24,11.95,-19.91,-22.36,-20.76,-3.85,8.57,8.58,12.96,8.24,21.28,23.34,20.68,19.15,10.79,10.56,13.19,13.76
崑鼎,6803,27.8,38.25,67.42,3.92,3.85,3.71,5.01,4.66,4.86,5.65,6.76,6.01,6.37,9.69,8.14,7.03,8.27,5.05,9.11
邑錡,7402,29.56,26.85,24.21,25.32,44.01,47.03,,45.58,,46.23,,21.9,,,,-12.62,,,
