company name,index,2016Q3,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2,2012Q1
易飛網,2734,-21366,-9172,-4704,-9401,-4452,5796,7360,46968,33315,20765,12312,55632,41191,25520,12137,20277,,2197,
高野,2736,51176,59334,59610,263642,214468,181324,50949,150371,123227,76350,52294,86535,,67307,,99226,,46523,
寒舍,2739,167776,131455,98240,302699,158507,138852,92783,284404,201716,171245,,322273,,,,281457,,,
天蔥,2740,-22290,-15031,-7969,26191,34142,24278,10843,70627,,35966,,59310,,24229,,10172,,,
雲品,2748,138149,97987,65179,181332,109588,86382,55575,135817,,,,0,,,,0,,,
彰銀,2801,9315696,6069967,3394114,11643337,9198361,5936798,2882057,10897180,9113548,5968223,3100347,8818249,7049802,4724453,2349219,8470750,7531676,4924886,2273301
京城銀,2809,3578036,2195020,1104772,3682754,2886558,2388457,1146290,5196354,4038410,2886106,1264937,4142013,3001257,1896752,1072401,3443896,2468999,1543511,723722
台中銀,2812,2528793,1585836,789771,3477032,2810863,2028285,1024368,3738325,3089131,2056561,1042269,3060271,2497859,1710802,793972,2777958,2064091,1268646,657086
旺旺保,2816,146564,61985,55122,261785,223590,318104,242518,585113,571544,421440,193003,517817,466852,230513,130368,258494,205047,125795,87912
華票,2820,1327161,959372,467661,1609696,1193968,794107,382020,1385343,1092868,700618,386635,1400861,1198741,972355,743755,1162649,1022662,812159,261023
中壽,2823,9069425,5916137,2692231,9171902,10225629,5711899,3296178,6511959,5612880,2819226,1576757,5999242,4198167,2716246,2076092,4783680,4008632,2012258,1010012
台產,2832,388732,181622,120397,1092006,929883,781872,234224,658276,475063,328719,212272,820835,618106,350710,179760,738641,638429,365815,251094
臺企銀,2834,3990770,2594434,1354986,5113036,3805470,2542897,1342242,5315137,3952035,2532864,1212460,3610202,2220186,1537720,728492,3403839,2606211,1673180,757836
高雄銀,2836,492806,320318,164495,591331,471622,311032,166144,508525,353582,210800,134441,419105,301093,193165,110709,386202,306594,216875,122055
聯邦銀,2838,2041935,1238045,659626,3138924,2249730,1365740,730440,3123485,2365343,1555397,727963,2887804,2143044,1462676,699009,2625102,2209754,1475091,698315
台開,2841,171947,316067,30215,2039605,239937,42918,-147664,5312015,-196545,-52900,9730,2500962,437915,142865,-119900,171567,-150221,-60354,-98246
