company name,index,2016Q3,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2,2012Q1
力鵬,1447,-370.71,-576.31,-67.49,-86.7,-71.48,-84.65,-150.78,-67.61,-55.46,-69.86,-35.3,"4,327.73",654.02,206.79,21.9,115.89,-141.94,-222.33,-46.86
佳和,1449,30.79,15.72,-61.68,"-4,266.04",-32.08,-39.97,31.3,95.39,-49.2,-113.91,-72.16,15.54,-42.59,-26.38,-256.21,-26.14,-11.87,58.49,64.11
年興,1451,45.35,373.5,396.34,-3.07,-25.63,-77.21,-81.55,-12.09,-10.42,2.09,71.28,-1.9,-16.6,-33.63,-49.44,0.81,-27.92,-14.9,-15.81
宏益,1452,-57.72,-67.82,-56.12,113.42,164.63,210.86,125.03,26.85,58.84,58.17,32.81,52.19,-11.17,21.03,-11.14,-1.15,-5.6,-53.5,-57.55
大將,1453,-101.34,-100.15,132.72,215.71,291.48,440.36,-306.09,-342.78,-350.68,-567.61,-98.69,-83.58,-118.12,175.94,81.48,"1,548.24",628.66,-149.01,-171
台富,1454,-46.5,-43.45,-69.17,52.96,78.78,203.38,286.81,87.09,46.37,2.22,225.77,310.75,645.07,465.94,114.07,-111.49,-104.26,-103.73,-108.96
集盛,1455,-14.31,-67.9,123.07,130.56,269.87,"3,996.49",-183.55,-84.4,-88.87,-97.73,-50.32,654.28,317.74,230.62,-28.69,-174.13,-119.17,-125.8,-60.66
怡華,1456,43.17,31.15,-18.86,110.34,94.73,64.6,34.81,"-7,353.87","-1,471.99",-176.23,-225.81,106.09,32.66,33.56,43.07,-7.6,41.88,10.27,-25.64
宜進,1457,-86.42,-84.89,-64.62,417.6,240.35,343.7,405.74,-43.95,77.82,"2,200.24",787.04,143.5,-16.01,-95.54,-93.29,141.51,164.51,182.98,-64.99
聯發,1459,-123.76,-116.79,-123.51,30.5,72.65,449.63,603.38,0.34,359.14,288.05,213,511.8,163.6,63.29,60.6,-114.75,-115.31,-121.25,-110.1
宏遠,1460,14.93,14,6.7,20.74,22.45,24.09,41.7,62.78,51.72,17.74,3.33,-60.44,-75.3,-79.06,-86.11,184.14,428.21,830.74,"1,523.41"
強盛,1463,98.16,136.98,43.23,-4.72,87.59,65.01,290.07,52.37,756.87,442.49,937.15,211.58,89.69,84.2,96.41,-278.73,-157.75,-156.18,-170.11
得力,1464,1.45,1.61,35.48,-55.35,683,540.14,"3,284.25","2,362.20",272.49,862.14,430.94,-177.05,"-1,005.31",-40.76,180.07,21.44,217,137.87,106.1
偉全,1465,-41.7,-8.38,-20.83,-13.72,-9.34,-44.58,-30.07,9.73,30.1,61.55,253.71,33.15,22.26,1.2,-43.49,-25.11,-51.69,-51.54,-55.08
聚隆,1466,-784.41,-606.11,"-18,575",-85.26,-59.86,-131.53,-98.8,-45.05,-58.98,-19.08,4.28,-1.1,4.32,-19.31,-4.73,-54.01,-71.86,-78.23,-86.21
南緯,1467,84.53,-52.74,-156.73,-186.53,-113.1,-938.18,-600.68,-42.2,-52.88,-103.37,-94.73,-51.7,-44.96,-66.26,5.66,72.36,68.86,85.22,-59.4
昶和,1468,42.89,132,88.16,9.5,-4.13,-4.1,51.14,-35.3,37.66,-14.76,2.59,81.81,67.87,82.07,64.72,-248.33,-130.74,-87.49,-95.36
理隆,1469,-774.08,-278.75,39.82,"-8,568.66",-31.05,129.77,-150.49,-100.89,-26.66,-58.85,-139.39,-70.25,-56.7,-39.93,311.18,-10.9,16.34,-34.44,-86.25
大統染,1470,-26.73,9.74,6.86,-7.93,-6.41,-31.74,-23.36,126.51,155.33,294.64,173.82,105.76,146.81,-19.78,-22.58,-64.64,-80.29,-69.11,-47.53
首利,1471,-5.82,16.44,-5.13,-355.98,-283.36,-189.51,-80.5,-352.36,"-2,305.96",-461.87,-186.65,110.61,98.48,110.84,70.14,-207.74,-694.52,-366.36,"-2,271.83"
三洋紡,1472,386.59,952.4,378.56,41.49,59.62,80.95,-61.38,38.86,46.34,54.94,48.93,35.26,-1.3,-3.54,-34,-5.88,-252.38,-220.05,-188.17
台南,1473,272.66,234.31,766.6,-38.61,36.53,1.57,"1,020.16",-85.62,-454.2,-431.09,-102.39,-413.45,49.34,128.99,526.12,-95.89,-120.21,-151.53,-92.44
弘裕,1474,5.64,40.56,64.29,59.74,242.68,265.15,256.22,-20.13,-14.96,-6.55,-21,190.02,355.27,70.74,-14.41,-217.22,-112.58,-87.85,-80.82
本盟,1475,6.12,48.44,88.78,47.96,8.93,-10.5,-14.68,52.82,30.69,8.5,23.01,-35.67,-7.75,13.3,28.45,31.39,-146.36,-551.74,-390.85
儒鴻,1476,-22.74,-13.96,-6.45,38.93,42.94,38.88,6.01,9.69,6.86,-0.73,11.33,52.7,61.88,69.75,53.51,51.58,42.83,70.14,57.7
聚陽,1477,-22.34,-13.8,0.05,27.64,32.06,28.73,31.42,27.07,24.13,23.61,26.53,14.06,7.9,6.36,5.34,5.78,16.07,29.27,32.63
士電,1503,11.8,6.89,-0.7,-2.44,-7.28,-0.13,7.44,8.81,16.79,25.89,26.22,16.85,-2.14,-20.05,-18.67,-12.1,-18.65,-6.58,-7.08
東元,1504,5.22,8.89,-3.75,-20.17,-21.77,-27.96,-13.62,5.39,15.14,24.26,9.81,25.58,32.3,46.34,45.77,10.98,-1.14,-16.39,-16.31
正道,1506,-54.26,27.56,40.49,332.19,358.46,318.25,161.47,107.58,115.45,87.78,63.27,-24.89,"-1,453.84",-513.38,-470.09,-258.43,-107.4,-81.49,-44.17
永大,1507,-12.16,-9.51,-2.61,-8.57,-6.86,5.78,12.65,18.81,40.7,38.03,31.82,129.2,144.15,271.58,406.46,4.38,-0.4,-11.18,-19.32
瑞利,1512,16.03,53.27,66.97,33.29,14.61,-18.61,22.91,-98.39,-24.16,-48.05,-217.01,-333.64,-721.48,-978.32,27.06,-51.91,136.56,163.38,-251.68
中興電,1513,-9.49,28.31,23.77,-18.82,39.77,-11.8,27.68,16.3,15.06,0.94,-15.02,13.16,-22.19,-0.03,-6.8,-3.95,-7.03,7.69,151.07
亞力,1514,-5.57,133.55,326.96,6.3,112.38,177.63,-12.85,63.09,0.4,-70.01,-21.31,-36.23,-47.51,-6.56,-8.72,40.76,192.02,49.66,32.13
力山,1515,-22.47,255.21,-77.36,-12.43,102.05,-5.32,73.19,-29.04,-53.68,-94.11,-12.45,226.81,183.56,240.52,223.81,153.01,158.46,159.31,108.2
川飛,1516,-72.95,-74.61,-79.75,103.76,534.36,"1,665.34","5,134.10",628.86,267.22,278.31,52.48,105.3,104.1,101.4,143.82,-209.63,-214.65,-288.47,76.78
利奇,1517,-75.23,-74.89,-59.66,-42.02,-31.35,-38.18,-85.38,-32.67,-17.03,-14.67,14.75,32.36,23.59,27.51,50.96,10.64,-22.25,-15.28,-39.66
華城,1519,63.09,20.18,"-1,106.92",-13.84,27.89,89.9,-106.74,126.48,36.46,80.62,242.06,53.59,240.96,137.49,119.94,-37.93,-221.61,-165.36,-212.15
大億,1521,-6.18,2.8,-8.31,20.83,30.56,35.65,66.72,21.45,49.67,67.5,87.95,7.18,-10.08,-28.66,-26.18,-14.19,-9.2,7.31,-32.84
堤維西,1522,35.04,88.71,77.82,40.13,46.33,6.81,-25.48,211.52,69.93,7.76,55.86,278.06,312.9,"3,961.76",344.09,-204.91,-154.28,-107.37,-178.19
耿鼎,1524,154.16,136.73,123.15,"-3,000.12","-16,583.74","-6,676.94","-1,775",113.32,140.49,-62.45,234.22,59.26,94.89,124.63,119.15,"-2,090.81","-1,115.16",-81.48,-242.33
江申,1525,43.22,45.74,44.48,36.81,16.46,18.47,24.54,7.45,9.9,30.85,48.89,-3.93,-12.93,-35.66,-42.54,-0.07,17.25,43.81,13.97
日馳,1526,-25.73,108.74,146.99,33.77,88.56,-9.35,-64.77,55.22,50.18,36.95,36.1,150.48,180.72,296.53,"1,314.67",-44.98,-75.96,-76.8,-86.44
鑽全,1527,-23.88,584.75,251.56,2.86,28.68,-72.06,-81.73,84.29,48.73,-22.31,34.66,787.2,701.42,311.19,341.45,-84.71,-87.58,178.36,-161.29
恩德,1528,603.27,542.97,"50,498",-362.21,310.5,-75.78,-99.81,-84.89,-97.45,-56.17,20.38,19.94,24.57,97.21,703.42,-59.7,-72.09,-78.91,-95.5
樂士,1529,97.21,112.35,349.77,-227.45,-17.14,21.92,-18.38,20.71,38.53,-420.7,9.42,67.42,72.33,96.52,88.3,"-2,308.25","-3,075.45","-1,713.73",-232.69
亞崴,1530,-63.95,-12.38,-65.19,-1.55,28.72,-33.22,-7.42,18.56,18.18,-6.45,-0.02,-11.36,-33.63,-15.68,6.27,7.64,41.39,89.49,231.74
高林股,1531,-49.04,-31.21,-63.4,-28.1,-10.22,-41.66,-73.02,-30.19,-40.78,-38.91,-18.68,24.89,6.49,177.08,27.31,-37.93,-61.1,-84.82,-71.79
勤美,1532,-2.61,-5.56,-9.5,57.25,153.07,112.39,99.3,-69.28,-58.24,-60.89,-43.35,262.24,101.57,62.03,86.56,26.29,-1.44,-9.76,-33.79
車王電,1533,-51.74,-19.08,31.81,-28.63,-27.82,-63.93,-75.93,13.83,20.01,72.42,141.74,175.16,25.11,-16.89,183.71,-39.27,126.45,290.13,-63.79
中宇,1535,-48.11,-46.26,-46.58,-25.31,-17.97,-4.87,-4,10.83,0.43,-16.17,-21.09,11.45,-0.84,2.44,8.1,13.13,18.74,12.95,12.48
和大,1536,-0.24,27.14,26.78,52.81,61.46,44.29,32.26,63.47,63.82,67.37,41.11,50.94,29.56,11.39,28.57,33.76,27.3,90.46,62.25
廣隆,1537,13.85,32.65,17.24,18.49,22.75,12.4,8.62,16.77,8.16,-6.82,-18.19,-7.93,1.22,26.94,107.23,94.61,76.64,48.7,-4.68
正峰新,1538,77.15,97.63,100.07,-2.33,-0.13,-915.78,-460.01,88.52,92.22,114.75,128.06,-104.98,-12.42,-22.96,-88.71,-24.58,-193.93,-881.2,-19.54
巨庭,1539,-42.78,24.85,22.82,69.98,99.7,34.21,81.84,45.34,27.96,-1.56,-12,706.78,673.95,537.45,281.06,48.09,30.92,53.69,-105.84
喬福,1540,-77.32,-61.55,-70.29,-70.82,-25.58,-38.45,-14.71,68.96,49.89,28.5,53.42,21.68,-36.25,-29.87,-17.38,-30.61,38.12,201.03,73.35
錩泰,1541,3.17,139.37,164.54,74.44,129.76,51.02,-14.13,813.23,"207,302.13",222.57,717.84,71.78,100.15,236.43,-481.88,"-1,944.97",-83.67,72.77,145.78
伸興,1558,-11.68,11.36,-22.79,3.74,11.55,-1.8,-21.51,16.43,6.14,-3.55,4.59,22.16,23.89,31.96,102.95,-3.64,-4.15,20.61,-26.41
中砂,1560,-24.09,-27.6,-35.8,-10.73,-5.67,-9.9,-1.04,24.21,28.05,39.19,29.93,15.28,18.55,21.02,20.89,1.36,-9.54,-17.5,-16.38
精華,1565,23.67,47.65,42.29,-7.44,-13.2,-34.14,-42.63,-1.57,4.06,16.46,33.88,32.33,34.72,39.3,47.12,12.86,5.02,1.98,-6.36
捷邦,1566,-29.71,-57.26,-89.89,"1,222.30",728.38,148.47,136.23,475.62,-137.04,-524.2,-176.43,-443.48,-3.98,214.36,227.17,-104.29,88.67,38.16,-178.87
倉佑,1568,24.78,89.42,195.22,33.83,25.26,-11.33,-59.45,42.27,85.08,139.13,290.96,-26.66,-56.96,-63.72,,559.3,,192.89,
濱川,1569,125.92,106.18,80.83,-378.15,-573.82,-342.6,-67.56,-62.87,-7.7,"-2,567.69","-1,541.68",-132.5,-140.32,-97.89,-93.05,-43.53,-23.94,868.56,241.32
